name,info
Msemen,"If you like crepes or pancakes, then you’ll surely enjoy msemen as well. Common in Morocco, Tunisia, and Algeria, this thin flaky flatbread with multiple layers is a popular breakfast dish and street food in Morocco. You can think of it as the Moroccan version of Indian paratha, Singaporean roti prata, or Malaysian roti canai.

Msemen (or rghaif) is made with a dough consisting of flour, durum wheat semolina, soft butter, dry yeast, salt, sugar, and water. The dough is cut into balls which are rolled out and formed into thin circles. The sides are then folded into a square, while sprinkling with semolina and butter, to create the signature layers of dough. The square-shaped dough is patted flat and cooked on a griddle or frying pan on both sides till golden brown and crispy.

Msemen can be savory or sweet and is often enjoyed for breakfast or as a snack with tea or coffee. When eaten for breakfast, they’re traditionally paired with a hot honey and butter dipping sauce. Savory versions of msemen are often stuffed with various ingredients like ground meat (usually beef or lamb), onions, herbs, and spices.

Like khobz, msemen is readily available at bakeries or from street food stalls but many Moroccans still prefer to make it at home."
Meloui,"Meloui refers to a type of Moroccan laminated pancake or crepe that’s very similar to msemen. Meaning “rolled” in Arabic, the main difference is in its shape. Unlike msemen which is formed into a square, meloui is shaped into a coil or roll before being flattened and cooked on a stove top.

Another difference is that meloui is made with more semolina which gives it a different taste and texture to msemen. When done correctly, you can pull the bread apart from its outer edges and uncoil it towards the center. Like msemen, its typically consumed for breakfast with butter and honey or as a snack with tea."
Baghrir,Baghrir is traditionally paired with a honey-butter syrup and eaten for breakfast. They’re also a common part of iftar meals during Ramadan. The holes may trigger trypophobia in some people but they actually work well in trapping and absorbing the syrups and jams paired with the pancakes.
Harcha,"Harcha (or ?ar?a) is a type of pancake or pan-fried bread made with semolina. Popular in Morocco and Algeria, it’s name means “rough” in Arabic and is in reference to the bread’s coarse and crispy exterior derived from semolina.

To make harcha, a dough consisting of semolina, baking powder, butter, milk, salt, and sugar is shaped into balls and rolled in coarse semolina. The balls are then formed into rounds and cooked on a griddle on both sides till they achieve a light golden brown color. They can be made into small individual cakes or into larger rounds shared between many.

When cooked, harcha looks a bit similar to English muffins though they’re closer in taste and texture to cornbread. They’re typically eaten for breakfast or as a snack with mint tea, usually with jam, cheese, or honey-butter syrup. Like baghrir, it’s a common snack during Ramadan."
Krachel,"Krachel (or el gors) refers to a sweet Moroccan bread roll made with a yeasted brioche-like dough enriched with aniseed and orange blossom water. Fragrant and aromatic, they’re brushed with egg wash and dusted with sesame seeds before being baked to a deep golden brown.

Like many of the breads in this Moroccan food guide, krachel is commonly eaten for breakfast or as a snack with Moroccan tea, either on its own or with various spreads like butter, jam, or cheese. It can also be part of an iftar meal to break the fast during Ramadan."
Tagine,"After couscous, tagine is the most well-known dish in Moroccan cuisine. It’s also the most striking because it can refer to both the Berber dish and the unique (and often colorful) cooking vessel used to make it. The word tagine stems from the Berber word tajin, meaning “shallow earthen pot”.

When referring to the cookware, a tagine (or tajine) is a ceramic or clay pot consisting of two parts – a flat circular base used for cooking and serving and a distinctively shaped conical lid. It comes in different sizes and can be glazed or left as is. Cooks generally preferred unglazed tagines because of the earthy flavors they impart to cooked dishes.

The tagine’s cone-like shape is designed to trap steam and return the condensed moisture back down to the dish simmering below. This reduces the amount of water needed to slowly cook and tenderize tougher cuts of meat. Not only does it keep the meat as moist and tender as possible, but it’s a practical method of cooking in areas where water supplies are limited.

A tagine can be used to slow-cook Moroccan stews made with meat, poultry, fish, vegetables, and fruit. Known for their sweet and sour flavor profiles, spices commonly used in tagine dishes include turmeric, saffron, paprika, cumin, cinnamon, and ginger. Fresh herbs are often incorporated into recipes along with other ingredients like olives, preserved lemon, nuts, and dried fruit."
Bastilla,"Bastilla (or b’stilla, pastilla) is one of the most well-known dishes in Moroccan cuisine. It’s equally popular in Algeria and refers to a savory pie made with light and crispy warqa dough filled with either poultry or seafood. Originally from Andalusia, the name bastilla is derived from the Spanish word pastilla meaning “small pastry”.

Poultry bastilla is traditionally made with squab but more modern versions are now made with chicken. The bird is browned in butter and simmered with onions, parsley, and various spices like saffron, nutmeg, and ginger till tender. The chicken meat is then deboned and shredded and the simmering liquid reduced and thickened with eggs to form a custard-like sauce.

In a round pan, thin layers of buttered warqa dough are layered multiple times with the sauce and shredded chicken meat. A layer of crushed almonds mixed with sugar and cinnamon is then added at the top before being covered with more layers of buttered warqa dough. The pie is baked till golden brown and sprinkled with powdered sugar, cinnamon, or fried almonds before serving.

Unlike poultry bastilla that has a savory-sweet flavor profile, seafood bastilla is known to be more spicy. It’s made with a filling of fish, squid, and shrimp mixed with vermicelli noodles, black mushrooms, and a spicy tomato sauce."
Chicken Rfissa,"New mothers need nourishing food and chicken rfissa is proof of that. It refers to a popular Moroccan Berber dish of stewed chicken, lentils, and onions served on a bed of shredded trid pastry. In Morocco, it’s typically given to mothers on the third day after giving birth because of its purported health benefits.

Chicken rfissa is a variation of a centuries-old Arab dish of stew and broth served over bread. It’s made with chicken and lentils stewed with ras el hanout, fenugreek seeds, saffron, and other spices. The chicken, lentils, and broth are traditionally served over a bed of shredded and steamed trid pastry though msemen, meloui, harcha, or even day-old bread can be used as a substitute.

Chicken rfissa is said to be beneficial to new mothers because of the fenugreek seeds. A unique herb long used in alternative medicine, it’s believed to have many health benefits for women recovering from childbirth.

Though chicken rfissa is traditionally prepared for new mothers, it’s a popular dish that’s often made for other occasions and family gatherings as well."
Babbouche,"Babbouche refers to a beloved Moroccan street food made with snails cooked in a spiced broth.

Recipes vary from vendor to vendor but babbouche (or ghal) can be flavored with up to fifteen different spices and seasonings like licorice root, aniseed, thyme, lavender, and tea leaves. Served in a bowl with broth and fished out with toothpicks, it’s a type of snail soup that’s especially popular in winter."
Chebakia,"Chebakia (or mkharka) refers to a deep-fried Moroccan sesame cookie. It’s known for its floral shape and crunchy texture and is traditionally prepared during the month of Ramadan.

To make chebakia, strips of spiced sesame dough are rolled to resemble roses before being deep-fried till golden brown and crunchy. The cookies are then coated with a syrup made from honey and orange blossom water and sprinkled with sesame seeds.

Chebakia sounds simple to make but folding the dough into the right shape can be time-consuming. Moroccan women would often work together to create large batches which they’d then divide amongst themselves to last through Ramadan.

Like harira, chebakia is traditionally a dish served to break the fast but it’s often prepared to celebrate other occasions as well."
Sellou,"Like chebakia and harira, sellou is one of the most commonly eaten dishes during Ramadan. Also known as sfouf or zmita, it refers to a unique Moroccan dessert made from roasted flour mixed with butter, honey, fried almonds, toasted unhulled sesame seeds, and spices.

To prepare, the ingredients are blended together to form a thick rich paste which is formed into a pyramid and decorated with almonds. Individual portions are then cut from the pyramid and served on plates.

Because it’s such a nutritious and calorie-packed dish, sellou is considered a natural dietary remedy and often given to nursing mothers to increase lactation. For this reason, nursing Moroccan women are advised to consume sellou for at least thirty days after giving birth."
Kaab el Ghazal,"Kaab el ghazal (or cornes de gazelle in French) refers to these crescent-shaped cookies popular in the cuisines of Morocco, Algeria, and Tunisia. Frequently served on special occasions, the name literally translates to “gazelle ankles” though they’re more commonly referred to as “gazelle horns”.

Gazelle horns are made with a flour-based dough filled with almond paste mixed with cinnamon and orange blossom water. They’re baked till lightly golden and then dipped in orange blossom water before serving. When dusted with powdered sugar, they become known as kaab el ghazal m’fenned."
Ghoriba,"Ghoriba refers to a type of Moroccan shortbread cookie made with ground almonds and toasted sesame seeds. They can be made in many different ways but one of the most common is ghoriba bahla, a version known for the distinctive cracks that form on its surface.

What seem like imperfections or accidents are highly desirable in ghoriba cookies. The cracks indicate that the cookie was made with the right ratio of ingredients and thus possess the desired texture. Without these cracks, a cookie can only be called ghoriba and not ghoriba bahla.

Oddly enough, the word bahla translates to “silly” in Moroccan Arabic. No one really knows why."
Sfenj,"Doughnuts are a common dessert in many cuisines and Morocco is no exception. Sfenj (or sfinj) refers to a type of Maghrebi doughnut made from sticky unsweetened leavened dough. A popular street food in Morocco, they’re chewy and fluffy and can be eaten as is, sprinkled with sugar, or soaked in honey.

Sfenj are believed to be Andalusian in origin and are said to be the inspiration for French beignets. Outside of North Africa, they’re often consumed by Moroccan and Sephardic Jews to celebrate Hanukkah."
Mint Tea,"If you’re looking for something to pair with these delicious Moroccan desserts, then look no further than mint tea, a type of Moroccan tea made with a green tea base, spearmint leaves, and sugar. It’s an emblematic drink and a central component to social life in the Maghreb.

Like Ethiopian coffee or Argentinian mate, the preparation and serving of Moroccan mint tea is steeped in ritual. It’s traditionally made by the head male of the family and offered to guests as a sign of hospitality. The tea is poured into glasses from a height to gently aerate the tea and improve its flavor.

Mint tea is typically consumed throughout the day as a social activity in Morocco. Traditionally, it’s served three times per brewing. The amount of time it spends steeping gives each glass a different flavor, hence the Maghrebi proverb:

“The first glass is as gentle as life, the second is as strong as love, the third is as bitter as death.”"
