title,description,ingredients,steps
"Lamb, harissa and feta burgers","Try these tasty lamb burgers, spiked with harissa mayo and plenty of feta, for a crowdpleasing midweek meal Wondering what to do with the remaining harissa? We’ve got some nifty ways to use up leftover harissa, here.","['Glug of oil', '1 finely chopped onion', '1 crushed garlic clove', '2 tbsp harissa paste', '500g British free-range lamb mince', '1 medium free-range egg', '½ x 200g pack of feta, crumbled ', 'Large handful of chopped fresh coriander', '4 brioche buns,', '4 lettuce leaves', '4 slices of tomato', '4 slices of cucumber', '4 tbsp mayonnaise', '1 tbsp harissa']","['Heat the oven to 200°C/180°C fan/gas 6. Heat a glug of oil in a large frying pan over a medium heat. Add the onion and cook for 5 minutes. Add the garlic clove and harissa paste, lightly season with salt and pepper and cook for 2-3 minutes more.', 'Tip into a large mixing bowl withthe\xa0lamb mince,\xa0egg, feta\xa0and a large handful of chopped fresh coriander. Mix everything together with your hands, season and shape into 4 large patties.', 'Put the patties on a lipped non-stick baking tray (they give out a lot of juice) and bake for 30-35 minutes until the lamb is cooked through. Toast the brioche\xa0buns, then layer each base with 1 lettuce leaf, 1 slice of tomato and 1 slice of cucumber, then the burger. Mix the mayonnaise with the harissa and add a dollop to each. Top with the other half of the buns and serve with salad leaves, sliced cucumber and spring onion, if you like.']"
Leftover chicken tagine,"Turn chicken stew leftovers into this bejewelled pomegranate and preserved lemon tagine with just a few extra ingredients. Add a nutty, fruity flavour to your stew with this chicken tagine with almonds and apricots.","['½ tbsp olive oil', '1 cinnamon stick (or ¼ tsp ground cinnamon)', '1 tsp ground cumin', '1½ tbsp ras el hanout', '⅓ quantity of chicken stew', '1 preserved lemon, pulp discarded and skin finely sliced', '75g dried apricots, chopped', '400g tin chopped tomatoes', '125g giant couscous', '100g baby leaf spinach']","[' Heat the olive oil in the casserole and add the cinnamon stick (or ground cinnamon), cumin and ras el hanout. Cook for 2-3 minutes until it smells fragrant, then stir in the quantity of chicken stew, preserved lemon, apricots and the chopped tomatoes. Fill the empty tomato tin with water and pour into the casserole. Stir, bring to the boil, lower the heat and simmer for 15 minutes.', 'After 15 minutes, add the giant couscous\xa0and simmer for another 8-10 minutes until tender. Remove the cinammon stick, if using. Add the baby leaf spinach and stir until wilted.', 'Serve the tagine sprinkled with the pistachios, pomegranate seeds and chopped coriander, if you like.']"
Vegetable tagine,"As this hearty vegetable tagine simmers away slowly, the root vegetables gradually release their natural sweetness and become beautifully soft. This recipe also happens to be vegan. Looking for something a little lighter? Our summer vegetable tagine is made with carrots, courgettes and fennel.","['Light olive or vegetable oil\xa0for frying', '2 red onions, sliced into wedges', '2 tsp ground coriander', '2 tsp ground cumin', '2 tsp ground cinnamon', '2 garlic cloves, crushed', '20g fresh ginger, grated', '2 tbsp harissa paste', '1 small butternut squash, peeled\xa0and diced into 2cm cubes', '3 parsnips, cubed', '2 carrots, diagonally sliced', '200g dried red lentils', '2 x 400g tins cherry tomatoes', '1 litre vegetable stock', '80g dried apricots, roughly chopped, plus extra to garnish', 'Large bunch fresh flatleaf parsley, leaves picked and roughly chopped']","['Heat a large deep casserole (one\xa0with a lid) over a medium heat. Add\xa0a glug of oil and the onions and fry for 5-6 minutes until they start to soften. Add the ground spices and fry for\xa0a few minutes more, then add the\xa0garlic and ginger and fry for another couple of minutes, stirring.', 'Add the harissa paste, stir and fry\xa0for another few minutes until aromatic, then add the squash, parsnips and carrots. Turn the heat down and cook, stirring regularly, for 5-10 minutes.', 'Add the red lentils, cherry tomatoes and stock, then season to taste. Bring up to a simmer and add the apricots. Put the lid on the casserole and leave to simmer on a low heat for 50 minutes.', 'Remove the lid, stir in half the chopped parsley and check the seasoning. Test if the vegetables are tender by piercing with the tip of a round-bladed knife – if\xa0it goes in easily, they’re ready.', 'Serve the tagine spooned on top of\xa0a mound of warm couscous and scatter over the remaining chopped parsley.']"
Knorr’s one-pot easy chicken tagine,"You’re six ingredients away from serving this flavoursome chicken tagine for dinner. An easy-to-make recipe, this Moroccan one-pot is a great way to feed the family, and requires minimal washing up.","['4 boneless chicken breasts', '1 tablespoon harissa paste', '1 large onion, sliced', '1 Knorr Chicken Stock Pot', '100g dried apricots, halved', '400g can chopped tomatoes', 'Couscous to serve, optional', 'Herbs to garnish, optional']","['Mix the chicken with the harissa paste. Heat 1 tbsp olive oil in a large pan, add the chicken and fry for 2-3 mins. Remove and set aside.', 'Add the onion to the pan and fry for 4-5 mins until soft. Return chicken to the pan.', 'Stir in the stock, apricots and tomatoes and cook, covered, over a low heat for 45 mins.', 'Serve with couscous and garnish with herbs.']"
Knorr’s one-pot fruity lamb tagine,"Diced lamb steaks are slow-cooked in a fragrant sauce until melt-in-the-mouth tender. The tagine is made using dried apricots and honey, giving it a welcome sweetness. Perfect on a wintry night.","['600g diced lamb steaks', '3-4 tablespoons Ras el Hanout spice mix', '1 large onion, diced', '2-3 garlic cloves, finely sliced', '1 tablespoon runny honey', '1 Knorr Lamb Stockpot dissolved in 450ml boiling water', '100g dried apricots, halved', '400g can chopped tomatoes', 'Couscous to serve, optional', 'Handful of fresh coriander and mint leaves, roughly chopped, optional']","['Toss the lamb in half the spice mix and marinade for at least 30 mins if possible. Heat 1 tbsp oil in a large pan, add the lamb and fry until browned on all sides. Remove and set aside.', 'Add the onion to the pan with the garlic and remaining spice mix and fry for 2-3 mins until soft. Add honey, stock, tomatoes and apricots and return meat to the pan.', 'Cover and cook gently for 1 hour or until meat is cooked and tender.', 'Serve garnished with the herbs and with a bowl of couscous.']"
Andi Oliver’s beetroot and walnut borek,"Andi Oliver’s vibrant beetroot and walnut-filled borek, served with refreshing cucumber, avocado and apple gazpacho, makes for the most wholesome of vegetarian offerings.","['2 whole beetroot (about 200g)', '2 cinnamon sticks', '1 tsp coriander seeds', '2 bay leaves', 'finely grated zest ½\xa0orange', '200ml red wine', '150ml pomegranate juice', '1½ tsp cornflour', '70g walnuts, finely chopped', '8 filo pastry sheets', '100g unsalted butter, melted']","['Put the beetroot, cinnamon, coriander seeds, bay leaves, orange zest, red wine and pomegranate juice in a saucepan along with 400ml water. Bring to a simmer over a medium heat, then cook gently for 60-75 minutes until the beetroot are tender all the way through.', 'Remove the beetroot from the poaching liquid (set the liquid aside), leave to cool, then peel and chop into 1cm cubes. Strain and discard the spices from the poaching liquid, then put it back over a high heat, boiling for \u2028about 2 minutes until reduced to 100ml.', 'Put the cornflour in a small bowl, mix in a splash of cold water, then whisk into the beetroot liquid and heat for 30 seconds. Add the chopped beetroot and walnuts to the pan and stir.', 'Heat the oven to 200°C/180°C fan/gas 6. To make the borek, lay a sheet of filo on a clean work surface (cover the others with a clean damp tea towel to prevent them drying out) and cut in half lengthways. Brush melted butter on one half and lay the other half on top, brushing with more melted butter. Put one eighth of the beetroot mixture onto the short edge of one end of the filo, fold in the long edges of the filo a little to cover the filling, then roll up the filo into a cigar shape, tucking in the sides as you go. Brush \u2028with melted butter, then put onto a baking sheet lined with non-stick baking paper. Repeat with the remaining sheets of filo.', 'Bake the borek for 15 minutes, turn them over, then return to the oven for another 5-10 minutes until golden and crisp on both sides.', 'While the borek are baking, make the gazpacho. Put all the gazpacho ingredients (except the cucumber garnish) into a blender and whizz until smooth. Season well, then chill.\xa0Let the borek cool for 10 minutes, then serve with the gazpacho, scattered with the reserved cucumber.']"
Spiced lamb and herby quinoa crumble,Who said a crumble can’t be savoury? This one combines spiced lamb with a crunchy quinoa topping for an impressive Middle Eastern-style dish with a difference.,"['500g lean British lamb mince', '1 tbsp light olive oil', '1 red onion, chopped', '2 tbsp plain flour', '2 tsp ground cumin', '2 tsp ground coriander', '½ tsp ground cinnamon', '1-2 green chillies, chopped', '5cm piece fresh ginger, grated', '2 fat garlic cloves, crushed', '500ml fresh chicken or lamb stock', '200ml tomato passata', 'Seeds ½ pomegranate']","['Fry the mince, without oil, in a non-stick frying pan, breaking it up with a fork or wooden spoon as it browns. Transfer to a colander set over a bowl to drain.', 'Wipe out the pan with kitchen paper, then add the light olive oil and heat. Cook the onion over a low heat for 10 minutes or until softened. Stir in the flour, spices, chillies, ginger and garlic, then cook for 2 minutes. Return the mince to the pan (discard the drained juices) and pour in the stock and passata. Bring to the boil, then turn down the heat and simmer for 25-30 minutes until the sauce has thickened.', 'Meanwhile, simmer 150g of the quinoa in a medium pan of boiling water for 15-20 minutes, or cook according to the pack instructions. Drain well, then set aside in a large bowl for 5 minutes. Fluff up with a fork, then stir in the remaining 40g uncooked quinoa along with the extra-virgin olive oil, feta, lemon zest and most of the herbs (reserve some to garnish). Taste and season.', 'Heat the oven to 190°C/170°C fan/gas 5. Pour the lamb mixture into a 1 litre ovenproof dish, then spoon over the quinoa crumble. Cook for 20-25 minutes until the topping is golden and the sauce is bubbling. Scatter over the pomegranate seeds and reserved herbs to serve.']"
Chermoula lamb leg steaks with minted cucumber yogurt,"Homemade chermoula, made with saffron, lemon, coriander and garlic, is the perfect accompaniment to barbecued lamb leg steaks. The Moroccan-inspired flavours of the chermoula work well with fish and other meats too.","['Pinch of saffron\xa0', '1½ tbsp lemon juice', '1 tsp finely grated lemon zest', '½ bunch of fresh coriander, coarsely shredded\xa0', '2 garlic cloves, peeled and crushed', '½ tbsp paprika, cayenne pepper or smoked paprika', '½ tbsp lightly toasted cumin seeds\xa0', 'Pinch of ground ginger', 'Generous pinch of flaky sea salt\xa0', '25ml olive oil']","['For the chermoula: Crumble the saffron between your fingers into a small bowl with the lemon juice and zest. Leave for 10 minutes, then mix with the rest of the ingredients.\xa0', 'Coat the steaks with half the chermoula and chill in a dish, covered tightly, for at least 2 hours and up to 24, turning once or twice. Grate the cucumber, then mix it with the salt and leave in a bowl for 30 minutes. Add 1 teacup of cold water, slosh it around gently for a few seconds, then drain in a sieve and gently squeeze out excess moisture. Shred the mint leaves (don’t chop too finely or you’ll lose lots of flavour), then mix into the cucumber. Stir in the yogurt and olive oil, then taste and season.', 'Wipe excess marinade from the steaks and lightly brush with oil, then cook until medium rare (3-4 minutes on each side, depending on the thickness). Baste with reserved marinade as they cook. Rest the lamb for 5 minutes, then serve.']"
"Grilled mackerel, grapefruit and pesto freekeh salad","The combination of crispy grilled mackerel, sharp grapefruit and the nutty flavour of freekeh, all topped with fresh pesto, makes this grain salad worthy of a special lunch.","['Olive oil for frying and drizzling', '1 red onion, finely chopped', '1 tbsp balsamic vinegar', '200g freekeh', '500ml chicken stock', 'Squeeze lemon juice', '8 skin-on mackerel fillets, pin boned (small bones removed with kitchen tweezers/pliers)', '3 large pink grapefruit, segmented and juice reserved (for the pesto)', '100g young leaf spinach', '25g fresh flatleaf parsley, chopped']","['Heat a glug of olive oil in a large pan, then add the onion and gently fry for 5-6 minutes until softened. Add the balsamic vinegar and freekeh, then cook for 2-3 minutes more. Add the stock and simmer for 20 minutes until the freekeh is al dente – the stock should be almost completely absorbed. Turn off the heat and allow to cool to just warm.', 'Meanwhile, put half the pine nuts and the rest of the pesto ingredients in a food processor and whizz to a rough paste. Heat the grill to high.', 'Drizzle olive oil and a squeeze of lemon over the mackerel fillets, then grill for 5-8 minutes, skin-side up, until cooked through (keep an eye on them, as grills vary in strength).', 'Stir the grapefruit segments, spinach, parsley and half the pesto into the freekeh. Season to taste and serve with the mackerel, extra pesto and the remaining pine nuts.']"
"Lentil, spinach and cumin soup","For a filling vegetarian dinner, try this warming Middle Eastern-style soup full of lentils, spices and spinach, and topped with fried onions and pine nuts. Lemon and yogurt add brightness to bring out the earthiness of the lentils. For something similar, try this curried lentil soup with kale instead.","['3-4 tbsp extra-virgin olive oil', '2 onions, sliced', '4 garlic cloves, sliced', '1 tsp ground coriander', '1 tsp cumin seeds', '150g brown or green lentils', '1.2 litres vegetable stock (we like Knorr)', '200g spinach', 'Freshly squeezed juice\xa0of 1 lemon', '4 tbsp natural yogurt', '25g pine nuts, toasted']","['Heat 3 tbsp of the olive oil in a large, heavy-based saucepan and add the sliced onions. Cook, covered, for 8-10 minutes until softened. Remove half the onions and set aside.', 'Continue to cook the onions left in the pan for 10-15 minutes until deep brown, sweet and caramelised. Remove and set aside for the garnish.', 'Return the softened onions to the pan, add the garlic, coriander, cumin seeds and lentils, then stir for 1-2 minutes until well coated in oil. Add more oil if necessary. Add the stock, bring to the boil, then lower the heat and simmer gently for 30 minutes, uncovered, until the lentils are soft.', 'Add the spinach and stir until wilted. Transfer half the soup to a blender and liquidise to make a purée. Stir this back into the soup. Season to taste with lemon juice, salt and ground black pepper.', 'Divide the soup equally among 4 bowls, add a spoonful of plain yogurt to each and scatter the pine nuts and fried onions over the top. Serve immediately.']"
Warm quinoa salad with broad beans and pomegranate,"Top this Middle Eastern-style quinoa salad, by vegetarian cookery book writer Rose Eliot, with halloumi, houmous, feta or avocado for an easy, vegetarian dinner.","['125g quinoa', '200g frozen broad beans', '1 pomegranate', '4 spring onions, chopped']","['Rinse the quinoa in a sieve, then put it into a saucepan with 250ml water and bring to the boil. Cover and simmer over a gentle heat for about 15 minutes until all the water has been absorbed and the quinoa is fluffy.', 'Meanwhile, put the broad beans in a saucepan, cover with boiling water and simmer for 2-3 minutes until tender. Drain, then cover with cold water to cool. With your fingers, pop the beans out of their grey skins and into a medium bowl.', 'In a small bowl, combine the dressing ingredients, if using, then pour it over the beans to dress.4. Cut the pomegranate in half around its equator. Hold each half over the beans, cut-side down, and bang with a wooden spoon to release the seeds.', 'Add the beans and pomegranate to the cooked quinoa with the spring onions. Stir to combine, then serve.']"
"Spicy chicken, chickpea and fennel salad","For a cheap weeknight dinner that’s easy to make, try this quick chicken salad made with fresh fennel, leftover chicken, chickpeas and harissa.","['250g leftover roast chicken', '1 fennel bulb', 'Juice of ½ lemon', '4 tbsp olive oil', '1 red onion, cut into wedges', '1 garlic clove, finely sliced', '2 x 400g tins chickpeas, drained and rinsed', '2 tbsp rose harissa']","['Shred the roast chicken into a bowl. Using a mandoline if you’ve got one, finely slice the fennel (reserving any fronds), then toss\xa0in a separate bowl with half the lemon juice and half the oil. Season, then toss with the chicken.', 'Heat the remaining oil in a frying pan over a medium heat, then gently fry the onion for 5 minutes. Add the garlic and fry for a further minute.', 'Add the chickpeas to the pan with the harissa and a splash of hot water, then cook until the chickpeas are warmed through. Transfer the mix to a bowl and season with sea salt, pepper and the remaining lemon juice. Toss with the chicken and fennel. Finely chop any fennel fronds and stir them in to serve.']"
Donal Skehan’s ultimate chicken tagine,"Donal Skehan’s straightforward chicken tagine recipe is bursting with spices and fruity flavour – the aromas released as it cooks will have you and the people you’re cooking for salivating. If you don’t have time for marinating and soaking, this chicken tagine – with figs and a fruity couscous – is ready in an hour.","['8-10 free-range chicken thighs, boned, skinned and sliced into bite-size pieces', '2 tsp paprika', '½ tsp ground cinnamon', '1 tsp ground turmeric', '1 tsp ground cumin', '1 tsp ground ginger', '100g dried apricots, sliced', '50g raisins', '500ml chicken stock, hot', '1 tbsp rapeseed oil, plus extra\xa0if needed', '2 large onions, finely sliced', '6 garlic cloves, finely chopped', 'Pinch of saffron, soaked in a splash\xa0of hot water', '2 x 400g tins chopped tomatoes', '1 tbsp tomato purée', '1 tbsp honey', '50g flaked almonds, toasted, to serve', 'Handful of fresh coriander, chopped']","['In a bowl, toss the chicken with the spices, cover with cling film and chill for at least 1 hour, or overnight. Meanwhile, soak the apricots and raisins in a little of the hot stock and set aside for at least an hour.', 'Heat the oil in a large, deep-sided frying pan over a high heat. Add the chicken in 2 batches and brown all over. Remove from the pan using a slotted spoon and set aside on a plate lined with kitchen paper. You should be left with a rich golden oil in the pan, but add extra rapeseed oil if required.', 'Fry the onions over a medium heat for \xa04-6 minutes until soft, stirring through the garlic for the last minute. Add the saffron along with its water, and the tomatoes, tomato purée, honey, fruit and soaking liquid. Pour in the remaining chicken stock and bring to a steady simmer. Cook for about 10 minutes, then season with sea salt and ground black pepper.', 'Return the browned chicken pieces to the pan and carefully stir through. Simmer, partly covered, for 20 minutes, stirring occasionally, until the chicken is cooked through and the sauce has thickened.', 'Put the couscous in a heatproof bowl and cover with 250ml boiling water. Cover the bowl with cling film or a clean tea towel and leave for about 5 minutes until all the water has been absorbed and the couscous appears plump. Use a fork to fluff up the couscous, then mix in the mint, lemon juice and most of the zest. Season with sea salt and ground black pepper. Serve the chicken tagine on top of a generous helping of couscous, with toasted flaked almonds, chopped fresh coriander and the remaining lemon zest scattered over.']"
