instructions,ingredients,title
"Watch how to make this recipe.
In a large bowl, mix the garlic, cumin, ginger, paprika, salt and pepper, 1/2 cup grated onion, and the oil.
Rinse the preserved lemons, and remove the pulp. RESERVE the lemon peel for later use.
Add the lemon pulp to the mixing bowl. Add the chicken. Mix everything together and place in a large plastic bag to marinate overnight in the refrigerator. (Twenty-four hours really gives the chicken the best flavor.)
In a large Dutch oven or casserole, place the chicken and marinade; add the stems of the parsley and cilantro, the rest of the grated onion, the powdered saffron and 1 1/2 cups water. Bring to a boil over high heat, turn down to a simmer and cook, partially covered, for 30 minutes.
Remove the cover, stir the chicken and continue to simmer for another 15 minutes or until the chicken is tender.
Remove the chicken to a serving dish and cover with foil to keep warm. Keep sauce on stove and begin to reduce.
Slice the preserved lemon peel into thin slices and add to the sauce along with the olives, parsley and cilantro. Reduce until the sauce is just a little thick. This shouldn't take more than 5 minutes at most.
Uncover the chicken and remove the skin from the chicken. (It doesn't look pretty and who needs the extra fat.) Pour sauce over chicken and serve.","['6 cloves garlic, peeled and finely chopped', '1 teaspoon ground cumin', '1 teaspoon ground ginger', '1/2 teaspoon sweet paprika', '1 tablespoon kosher or sea salt', '1/2 teaspoon freshly ground black pepper', '1 large Spanish onion, grated (about 1 cup)', '2 tablespoons canola, grapeseed or olive oil (not a heavy olive oil)', '1 to 2 preserved lemons, depending on size', '8 chicken thighs, with bone and skin', 'Stems from the parsley and cilantro, tied with twine', '1/4 teaspoon powdered saffron or 1/4 teaspoon powdered turmeric and 4 strands saffron', '1 cup pitted green Moroccan or Greek olives', '1/2 bunch Italian parsley, about 1/4 cup chopped', '1/2 bunch cilantro, about 1/4 cup chopped']",Moroccan Chicken Tajine
"Preheat a grill or grill pan. Alternatively, preheat the oven to 350 degrees F.
Slice the bread into 1/4-inch thick slices. Brush with olive oil, season with salt and pepper, and lightly grill on 1 side. Cool and store in a sealed container until ready to use.
Combine the harissa, sour cream, half of the lemon zest, and half of the lemon juice in a small bowl.
If more lemon is necessary, add the rest of the zest and or juice. Put into a squeeze bottle for easy assembly.
Preheat the oven to 350 degrees F. Coat lamb racks generously with the spice mix, salt, and pepper. Be cautious with the pepper since there is pepper in the spice mix. There should be an even coat of spices around the lamb. Heat a couple tablespoons olive oil in a very large skillet over high heat. When oil is hot, add lamb racks and sear over high heat to form a crust on both sides. Remove from the pan, transfer to a baking dish and finish in the oven for 8 minutes or until medium rare. Remove from the oven and allow to rest at room temperature for at least 5 minutes before slicing.
Assembly: Slice the lamb into 1/4-inch thick slices as close to the bone as possible. Place a piece of lamb on top of a baguette slice. Add a drop of the harissa (remember it is spicy), and then finish with a thin julienne of dried apricot and a sprig of chervil. For additional seasoning, add a sprinkle of salt and a drop of extra-virgin olive oil.
In a shallow saute pan, toast all of the spices over a medium heat. Allow to cool and then grind in a coffee grinder to a fine powder.","['1/2 chewy baguette', 'Olive oil', 'Salt and pepper', '1/2 cup harissa paste (can be store bought)', '1/4 cup sour cream', '1 lemon, zested and juiced', '2 racks Australian lamb, trimmed', 'About 3 1/2 tablespoons Moroccan Spice Mix, recipe follows', 'Julienned dried apricots, for garnish', 'Chervil sprigs, for garnish', '1 tablespoon cumin seeds', '1 tablespoon cardamom seeds', '1 tablespoon coriander seeds', '1 tablespoon paprika', '1/2 tablespoon black peppercorns', '1 cinnamon stick', '1/2 tablespoon ground nutmeg', '1/2 tablespoon whole cloves']",Moroccan Spiced Lamb with Harissa
"Melt the butter in a large saute pan, add the shallots and cook for 3 minutes over medium heat. Add the chicken stock, salt and pepper, raise the heat to high and bring the stock to a boil. Off the heat and add the couscous. Cover the pan and let it sit for 10 minutes.
Add the pignoli nuts and currants to the couscous, stir and serve.
Homemade Chicken Stock:
3 (5-pound) chickens
3 large onions, unpeeled and quartered
6 carrots, unpeeled and halved
4 celery stalks with leaves, cut in thirds
4 parsnips, unpeeled and cut in 1/2, optional
20 sprigs fresh flat-leaf parsley
15 sprigs fresh thyme
20 sprigs fresh dill
1 head garlic, unpeeled and cut in 1/2 crosswise
2 tablespoons kosher salt
2 teaspoons whole black peppercorns
Place the chickens, onions, carrots, celery, parsnips, parsley, thyme, dill, garlic, salt, and peppercorns in a 16 to 20-quart stockpot with 7 quarts of water and bring to a boil. Skim the surface as needed. Simmer uncovered for 4 hours. Strain the entire contents of the pot through a colander, discarding the chicken and vegetables, and chill. Discard the hardened fat, and then pack the broth in quart containers.
Yield: 6 quarts","['4 tablespoons (1/2 stick) unsalted butter', '3/4 cup chopped shallots', '3 cups Homemade Chicken Stock, recipe follows, or canned broth', '1/2 teaspoon kosher salt', '1/2 teaspoon black pepper', '1 1/2 cups couscous', '1/2 cup pignoli nuts, toasted', '1/4 cup currants']",Moroccan Couscous
"In a food processor, combine all ingredients for rub and pulse until blended. Rub over both racks generously. Season with salt.
Preheat oven to 375 degrees.
In a large skillet, heat 1 to 2 tablespoons olive oil on high. Sear racks on all sides until well browned, about 4 to 5 minutes.
Transfer lamb to roasting pan and continue to cook in oven at 375 degrees for about 17 to 20 more minutes or until medium (internal temperature of 140 to 145 degrees).
Combine molasses with chopped mint in a medium bowl. When racks are cooked, remove from oven and let rest for 5 minutes covered with foil before slicing. Slice and dip exposed sides with mint mixture.
For the yogurt sauce: Combine all ingredients in a medium bowl. Stir, cover and chill until ready to serve.
Serve the lamb with grilled apricots and drizzled with yogurt sauce, if desired.","['2 lamb racks, chine bone removed, trimmed', '2 tablespoons olive oil', '2 large clove garlic, minced', '1/4 cup chopped fresh parsley', '1 tablespoon whole cumin seed, crushed', '2 teaspoons whole coriander seed, crushed', '1 small chile, finely chopped', '1/2 teaspoon ground cinnamon', 'Pinch ground cardamom', '1 teaspoon cracked black pepper', 'Salt, to taste', 'Olive oil, to taste', '2 tablespoons pomegranate molasses', '1/2 cup chopped fresh mint', '1/2 cup plain yogurt', '1 teaspoon honey', '2 tablespoons fresh chopped mint', '1/2 teaspoon toasted, ground cumin seeds', '1 lime, grated zest', 'Pinch ground cinnamon']",Moroccan Crusted Lamb Racks with Grilled Apricots
"Combine the cumin, coriander, turmeric, paprika, nutmeg cinnamon, cardamom, allspice, cayenne pepper and ground cloves and store in an airtight container away from the heat for up to several months.","['1 tablespoon ground cumin', '1 tablespoon ground coriander', '1 tablespoon turmeric', '1 tablespoon paprika', '1 1/2 teaspoons freshly grated nutmeg', '1 teaspoon ground cinnamon', '1 teaspoon ground cardamom', '1 teaspoon ground allspice', '1 teaspoon cayenne pepper', '1/2 teaspoon ground cloves']",Moroccan Spice Blend - Ras el Hanout
"Special equipment: a collapsible steamer basket
Preheat the oven to 350 degrees F. Spread the pine nuts on one side of a baking sheet and the cumin seeds on the other side, not mixing the two together. Toast the nuts and spices until fragrant and browning in spots, 6 to 7 minutes. Remove the baking sheet from the oven and let cool.
Cut the tops off the carrots and reserve. Peel the carrots and chop them into 1-inch pieces.
Fill a medium wide-mouthed pot with 2 inches of water. Set a collapsible steamer basket insert into the pot, then bring to a simmer over high heat. Put the carrots in the steamer basket and cook, covered, until the largest pieces are tender when pierced with a knife, 10 to 12 minutes.
Puree the carrots and chickpeas with a food processor until blended. Add the orange juice, tahini, reserved cumin seeds and 2 teaspoons salt and continue to process until the mixture is smooth and light and very well blended, about 5 minutes, scraping down the bowl as necessary. Transfer the carrot hummus to a medium bowl and reserve.
Pick 1/2 cup packed leaves off of the stems of the carrot tops and reserve. Discard the stems. Pulse the garlic and all but 1 teaspoon of the pine nuts in a food processor until coarsely ground. Add the carrot top leaves, mint, 1/4 teaspoon salt and all but 1/4 teaspoon of the orange zest and pulse until finely chopped. With the processor on, slowly drizzle in the oil and process until blended well.
Spread half of the carrot hummus in the bottom of a medium glass serving bowl. Spread 1/2 cup Greek yogurt on top. Spread the remaining carrot hummus over that. Spread the pesto into a wide circle in the center and drop a dollop of the remaining 1/4 cup yogurt in the center of the pesto. Sprinkle with the remaining teaspoon pine nuts and 1/4 teaspoon orange zest. Serve with toasted pita triangles.","['1/4 cup pine nuts', '1 teaspoon cumin seeds', '2 bunches medium carrots with nice tops', 'Two 15-ounce cans chickpeas, drained', 'Zest and juice of 1 orange', '1/3 cup tahini, well-stirred', 'Kosher salt', '1 clove garlic', '1/2 cup fresh mint leaves', '1/4 cup extra-virgin olive oil', '3/4 cup whole-milk Greek yogurt', 'Toasted pita triangles, for serving']",Moroccan Carrot Hummus Dip
"Place the lemon pieces in a cold skillet. Add a generous amount of oil to cover the bottom of the pan and heat over low heat until the rinds soften and begin to brown and caramelize, about 20 minutes.
In a large bowl, add the cumin, cinnamon, ginger, cayenne, orange zest, orange juice, salt, and pepper. While whisking, pour 1/4 cup olive oil in a thin stream until the dressing reaches your desired consistency. Add the carrots, parsley, and pine nuts. Remove the caramelized lemon to the bowl using a slotted spoon. Toss and taste for seasoning. Drizzle in some of the lemon infused oil, to taste.
Store in the refrigerator until serving time.","['1 large lemon, washed, sliced into thin rounds, and then quartered', '1/4 cup extra-virgin olive oil, plus extra for lemons', '1 1/2 teaspoons ground cumin', '1/4 teaspoon ground cinnamon', '1/4 teaspoon ground ginger', '2 pinches cayenne pepper', '1/2 teaspoon orange zest, plus 1/4 cup orange juice', 'Kosher salt and freshly ground black pepper', '8 medium carrots, peeled and grated (about 4 cups)', '1/4 cup chopped fresh parsley', '2 tablespoons toasted pine nuts']",Moroccan Carrot Salad with Parsley and Roasted Lemon
"Sprinkle the meat with a spice blend of the cumin, coriander, chili, cinnamon, salt and pepper, and then dredge in flour. Heat the EVOO in a Dutch oven over medium-high heat. When the oil smokes, add the meat and brown all over. Remove to a plate, reduce the heat a bit and add more EVOO, the chiles, onions and bay leaves. Cook to soften, 6 to7 minutes. Stir in the tomato paste, stock, zest and juice. Once the liquid comes to boil, add the meat back in and reduce the heat to thicken it a little. Serve with flat bread or couscous.","['2 pounds diced boneless leg of lamb or chicken thighs', '1 1/2 teaspoons cumin, half a palmful', '1 1/2 teaspoons coriander, half a palmful', '1 tablespoon chili powder, a palmful', '1/2 teaspoon cinnamon', 'Salt and pepper', 'Flour for dredging', '2 tablespoons EVOO', '2 red chile peppers, seeded and chopped', '2 onions, chopped', '2 bay leaves', '2 tablespoons tomato paste', '2 cups chicken stock', '1 teaspoon zest plus juice of 1 orange or ripe lemon', 'Flat bread or couscous, for serving']",Moroccan Spiced Lamb or Chicken
"Make the herb sauce: Puree the parsley, lemon juice, tahini, honey and garlic with 1 teaspoon salt, 1/2 teaspoon pepper and 1/4 cup water in a blender.
Make the burritos: Wrap the tortillas in a damp kitchen towel and heat in the microwave until pliable, about 1 minute. (Alternatively, warm individual tortillas in a large dry skillet.)
Place 1/2 cup rice in the middle of each tortilla and scatter about cup cheese on top. Spoon a quarter of the stew over the cheese. Fold in the two sides of each tortilla and roll into a tight burrito. Serve with the herb sauce.
Combine the allspice and 3 teaspoons salt in a small bowl. Season the turkey thighs with half the salt mixture in a 5-quart slow cooker.
Toss the squash, chickpeas, tomatoes, apricots, raisins, carrots, onions and chiles with the remaining spiced salt. Pour the vegetables over the turkey (the cooker will be full; arrange the mixture so the lid fits). Cover and cook on high for 6 hours or on low for 7 to 8 hours.
Spoon the vegetables and broth into bowls. Remove and discard the turkey bones and place the meat on top of the vegetables.
Juice the lemon; pulse with the cilantro, parsley, garlic, cumin and 1 teaspoon salt in a food processor. Add the oil and process until smooth. Serve the stew in bowls; drizzle with the cilantro sauce.
Photograph by Antonis Achiellos","['1/2 cup fresh parsley', '1/3 cup fresh lemon juice', '1/4 cup tahini (sesame paste, available in the international foods aisle)', '2 teaspoons honey', '1 clove garlic, smashed', 'Kosher salt and freshly ground pepper', '4 10-inch flour tortillas', '2 cups cooked rice or couscous, heated', '1 1/3 cups shredded pepper or monterey jack cheese', '3 cups leftover Moroccan Turkey Stew, heated', '1 teaspoon ground allspice', 'Kosher salt', '4 skinless, bone-in turkey thighs (about 4 pounds)', '1/2 medium butternut squash, cut into 2-inch chunks', '2 15 .5-ounce cans chickpeas, drained and rinsed', '1 28 -ounce can whole peeled tomatoes with juices, broken up', '1 cup dried apricots', '1/2 cup golden raisins', '8 medium carrots, cut into 11/2-inch pieces', '3 medium red onions, halved and cut into wedges', '2 whole dried red chiles', '1/2 lemon', '2 cups fresh cilantro, including leaves and some stems', '1 cup fresh parsley', '1 clove garlic, smashed', '1/2 teaspoon ground cumin', '1/2 cup extra-virgin olive oil']",Moroccan Burritos with Tahini Herb Sauce
"Preheat the oven to 250 degrees F. Wrap the flatbread in foil and place in the oven to warm while you are making the eggs.
Heat the canola oil in a large, high-sided saute pan over high heat until it begins to shimmer. Add the sausage and cook until golden brown and just cooked through, about 3 minutes. Add the onions and cook until softened and lightly golden brown. Add the garlic and cook for 1 minute. Add the tomatoes, harissa, ras el hanout, paprika and 1 cup of water to the pan and bring to a boil. Reduce the heat to medium low and cook until the sauce thickens, about 15 minutes. Season with salt, pepper and honey, if needed.
Carefully crack the eggs over the mixture, sprinkle with the goat cheese, cilantro and parsley and cover with a lid for a few minutes. Uncover and continue to cook until the whites are set but the yolks are still runny, 1 to 2 minutes.
Serve the eggs and sauce in the pan with the warm flatbread on the side.","['4 to 6 pieces flatbread, such as pita, naan or lavash', '3 to 4 tablespoons canola oil', '12 ounces merguez sausage, casings removed', '1 medium Spanish onion, halved and thinly sliced', '2 cloves garlic, minced', 'One 28-ounce can plum tomatoes, coarsely crushed', '1 to 2 tablespoons harissa, depending on how spicy you want it', '1 tablespoon ras el hanout (Moroccan spice blend)', '1 teaspoon Spanish sweet smoked paprika', 'Kosher salt and freshly ground black pepper', 'Honey, as needed, optional', '8 large eggs', '4 ounces soft goat cheese, crumbled', '1/4 cup coarsely chopped fresh cilantro', '1/4 cup coarsely chopped fresh flat-leaf parsley']",Moroccan Eggs with Flatbread and Goat Cheese
"In a large heavy pot heat oil over medium high heat. Stir in the onion and cook for 3 minutes or until tender. Stir in spices and cook until aroma is released. Stir in carrots, potatoes and squash and toss to coat. Cook vegetables for 5 minutes. Stir in tomatoes and water. If necessary add enough water so that all the vegetables are submerged. Bring to a simmer and cook for 20 minutes. Stir in zucchini and continue to cook for 20 more minutes. Stir in the chickpeas and season with salt and pepper, Tabasco and cilantro. Serve hot with couscous and warm pita bread.","['1 tablespoon olive oil', '1 large onion, chopped', '1 teaspoon cinnamon', '1/2 teaspoon allspice', '1 teaspoon ground coriander', '2 teaspoon cumin', '1 teaspoon cayenne', '4 carrots, peeled and cut into 1"" pieces', '2 russet potatoes, peeled and cut into large chunks', '1 small butternut squash, peeled, seeded, cut into 1"" chunks', '2 cups chopped whole plum tomatoes with juices', '2 cups water', '2 small zucchini, cut into 1"" pieces', '1 15-ounce can chickpeas', 'Salt and pepper', 'Tabasco to taste', '1/2 cup chopped cilantro']",Moroccan Vegetables with Couscous
"Preheat oven to 350 degrees. In a bowl combine coriander, garlic, cumin, paprika, cinnamon, salt and pepper to taste. Add olive oil, lemon and honey. Make a paste, rub onto wings and marinade overnight. Place in pan and bake for 20 minutes. Cover chili peppers with hot water and let soak 1 hour. Drain peppers and cut into small pieces. Mash or grind to puree with garlic, lemon, vinegar and salt to taste. In a saucepan melt butter and add chili puree, combine well. Brush wings with mixture and bake an additional 10 minutes. Crisp under broiler for 1 to 2 minutes. In a saucepan combine tomatoes, garlic, cumin, coriander, paprika, cinnamon, salt and cayenne to taste. Simmer for 20 minutes over low heat. Stir in yogurt and lemon juice to taste. Transfer to serving bowl. Arrange wings on serving platter. Garnish with flat leaf parsley. Serve with sauce.;","['12 chicken wings, halved', '1 1/2 teaspoons ground coriander', '4 cloves garlic, mashed', '2 teaspoons ground cumin', '1 teaspoon sweet paprika', '1 teaspoon ground cinnamon', 'Salt and pepper', '2 tablespoons olive oil', '1 tablespoon lemon juice', '1 teaspoon honey', '1/2-ounce chili peppers', '2 large cloves garlic', '2 tablespoons lemon juice', '1 tablespoon white vinegar', '6 tablespoons butter', '1 1/2 cups pureed canned plum tomatoes', '4 cloves garlic, mashed', '1 teaspoon ground cumin', '1 teaspoon coriander', '1 teaspoon paprika', '1/2 teaspoon cinnamon', 'Salt and cayenne', '1 cup yogurt, drained', '1 teaspoon lemon juice']",Moroccan Style Chicken Wings
