ingredients,instructions,title
"['2 1/2-inch-thick slices crustless French bread (each about 3x5 inches)', '2 teaspoons minced garlic', '2 teaspoons grated orange peel', '1 teaspoon ground cumin', '1/4 teaspoon cayenne pepper', '1 1/2 teaspoons olive oil', '6 3/4-inch-thick lamb rib chops']","Preheat oven to 500°F. Grind bread in processor to fine crumbs. Add garlic, orange peel, cumin and cayenne pepper. Drizzle in olive oil and blend until crumbs are evenly moistened. Transfer crumb mixture to plate. Sprinkle lamb chops with salt. Dip both sides of lamb chops into crumb mixture, pressing all crumbs into lamb. Arrange lamb chops on small baking sheet. Bake lamb chops until crumb coating is golden and lamb is cooked to desired doneness, about 12 minutes for medium-rare. Serve immediately.
Preheat oven to 500°F. Grind bread in processor to fine crumbs. Add garlic, orange peel, cumin and cayenne pepper. Drizzle in olive oil and blend until crumbs are evenly moistened. Transfer crumb mixture to plate. Sprinkle lamb chops with salt. Dip both sides of lamb chops into crumb mixture, pressing all crumbs into lamb. Arrange lamb chops on small baking sheet.
Bake lamb chops until crumb coating is golden and lamb is cooked to desired doneness, about 12 minutes for medium-rare. Serve immediately.",Moroccan-Style Lamb Chops 
"['1/4 cup ( 1/2 stick) unsalted butter, melted', '1/4 cup honey', '1 teaspoon ground cinnamon', '1/4 teaspoon turmeric', '1 (4 3/4- to 5-pound) whole chicken, rinsed, patted dry']","Position rack in bottom third of oven; preheat to 400°F. Whisk butter, honey, cinnamon, and turmeric in small bowl. Season with salt and pepper. Transfer 1/4 cup honey butter to small bowl; reserve. Place chicken on rack in roasting pan. Brush with some of remaining honey butter; sprinkle with salt and pepper. Roast chicken until thermometer inserted into thickest part of thigh registers 165°F to 170°F, brushing occasionally with honey butter and covering loosely with foil if browning too quickly, about 1 hour 10 minutes. Transfer to platter. Serve with reserved honey butter.
Position rack in bottom third of oven; preheat to 400°F. Whisk butter, honey, cinnamon, and turmeric in small bowl. Season with salt and pepper. Transfer 1/4 cup honey butter to small bowl; reserve.
Place chicken on rack in roasting pan. Brush with some of remaining honey butter; sprinkle with salt and pepper. Roast chicken until thermometer inserted into thickest part of thigh registers 165°F to 170°F, brushing occasionally with honey butter and covering loosely with foil if browning too quickly, about 1 hour 10 minutes. Transfer to platter. Serve with reserved honey butter.",Moroccan-Style Roast Chicken 
"['8 tablespoons olive oil plus additional for brushing on matzo', '1 medium onion, finely chopped', '1 1/2 pounds ground lamb', '3 garlic cloves, finely chopped', '2 1/2 teaspoons salt', '1 1/2 teaspoons ras-el-hanout (Moroccan spice blend)*', '1 teaspoon dried oregano, crumbled', '1 teaspoon dried mint, crumbled', '1/2 teaspoon black pepper', '1/4 teaspoon cinnamon', '2 (28- to 32-ounce) cans whole tomatoes in juice, chopped (6 cups), reserving juice', '2 pound eggplant, peeled and cut crosswise into 1/3-inch slices', '6 matzos (about 6 inches square)', '1/4 teaspoon cayenne', '3/4 teaspoon sugar']","Make lamb filling: Heat 3 tablespoons oil in a 12-inch heavy skillet (2 inches deep) over moderately high heat until hot but not smoking, then sauté onion, stirring occasionally, until golden, about 5 minutes. Add lamb and sauté, stirring and breaking up lumps, until no longer pink, about 5 minutes. Add two thirds of garlic, 1 1/2 teaspoons salt, and 1 teaspoon ras-el-hanout with oregano, mint, pepper, and cinnamon, then sauté, stirring, 1 minute. Stir in 4 cups tomatoes with some of juice (reserving remaining tomatoes and juice for sauce) and simmer, uncovered, stirring occasionally, until slightly thickened, 10 to 12 minutes.
Heat 3 tablespoons oil in a 12-inch heavy skillet (2 inches deep) over moderately high heat until hot but not smoking, then sauté onion, stirring occasionally, until golden, about 5 minutes. Add lamb and sauté, stirring and breaking up lumps, until no longer pink, about 5 minutes. Add two thirds of garlic, 1 1/2 teaspoons salt, and 1 teaspoon ras-el-hanout with oregano, mint, pepper, and cinnamon, then sauté, stirring, 1 minute.
Stir in 4 cups tomatoes with some of juice (reserving remaining tomatoes and juice for sauce) and simmer, uncovered, stirring occasionally, until slightly thickened, 10 to 12 minutes.
Roast eggplant and assemble pie: Preheat broiler. Toss eggplant slices with 4 tablespoons oil and 1/2 teaspoon salt in a bowl. Brush a large shallow baking pan (1/2 to 1 inch deep) generously with oil and arrange as many slices as possible in 1 layer. Broil, in batches if necessary, 5 to 7 inches from heat, turning slices over as they brown (about halfway through broiling), until tender, 12 to 15 minutes total. Put oven rack in middle position and preheat oven to 350°F. Soak matzos, 1 or 2 at a time, in a pan of warm water until matzos are slightly softened but still hold their shape, 1 to 1 1/2 minutes. Let excess water drip off and transfer matzos to paper towels or kitchen towels to drain. Arrange 2 matzos side by side in a generously oiled 13- by 9- by 2-inch (3-quart) baking dish to nearly cover bottom. Spread 3 cups lamb filling over matzos in pan. Arrange 2 matzos side by side on top, then spread remaining filling over them. Arrange eggplant slices in 1 layer over filling (overlapping slices slightly if necessary), then arrange remaining 2 matzos on top and brush with oil. Bake, covered with foil, 20 minutes, then remove foil and continue to bake until filling is hot, about 10 minutes more.
Preheat broiler.
Toss eggplant slices with 4 tablespoons oil and 1/2 teaspoon salt in a bowl. Brush a large shallow baking pan (1/2 to 1 inch deep) generously with oil and arrange as many slices as possible in 1 layer. Broil, in batches if necessary, 5 to 7 inches from heat, turning slices over as they brown (about halfway through broiling), until tender, 12 to 15 minutes total.
Put oven rack in middle position and preheat oven to 350°F.
Soak matzos, 1 or 2 at a time, in a pan of warm water until matzos are slightly softened but still hold their shape, 1 to 1 1/2 minutes. Let excess water drip off and transfer matzos to paper towels or kitchen towels to drain.
Arrange 2 matzos side by side in a generously oiled 13- by 9- by 2-inch (3-quart) baking dish to nearly cover bottom. Spread 3 cups lamb filling over matzos in pan. Arrange 2 matzos side by side on top, then spread remaining filling over them. Arrange eggplant slices in 1 layer over filling (overlapping slices slightly if necessary), then arrange remaining 2 matzos on top and brush with oil. Bake, covered with foil, 20 minutes, then remove foil and continue to bake until filling is hot, about 10 minutes more.
Make tomato sauce while pie bakes: Purée remaining 2 cups chopped tomatoes with juice in a blender. Heat remaining tablespoon oil in a 10- to 12-inch skillet over moderate heat, then cook cayenne, remaining garlic, and remaining 1/2 teaspoon each ras-el-hanout and salt, stirring, until garlic is golden, about 1 minute. Add tomato purée and sugar and simmer, uncovered, stirring occasionally, until slightly thickened, 4 to 6 minutes.
Purée remaining 2 cups chopped tomatoes with juice in a blender. Heat remaining tablespoon oil in a 10- to 12-inch skillet over moderate heat, then cook cayenne, remaining garlic, and remaining 1/2 teaspoon each ras-el-hanout and salt, stirring, until garlic is golden, about 1 minute. Add tomato purée and sugar and simmer, uncovered, stirring occasionally, until slightly thickened, 4 to 6 minutes.
*Available at specialty foods shops and Kalustyan's (800-352-3451).
*Available at specialty foods shops and Kalustyan's (800-352-3451).",Moroccan Lamb and Eggplant Matzo Pie with Spicy Tomato Sauce 
"['2 Meyer lemons or regular lemons', '1 tablespoon olive oil', '1 large onion, halved, thinly sliced', '2 garlic cloves, pressed', '1 tablespoon paprika', '2 teaspoons ground cumin', '1 teaspoon ground cinnamon', '1 teaspoon ground ginger', '2 cups low-salt chicken broth', '1 4 1/2-pound chicken, cut into 8 pieces, skin removed', '1/2 cup green olives']","Cut 1 lemon into 8 wedges. Squeeze enough juice from second lemon to measure 2 tablespoons; set wedges and juice aside. Heat oil in large skillet over medium-high heat. Add onion and sprinkle with salt and pepper; sauté until golden brown, about 8 minutes. Add next 5 ingredients; stir 1 minute. Add broth; bring to boil. Sprinkle chicken with salt and pepper; add to skillet. Add lemon wedges. Cover, reduce heat to medium-low, and simmer until chicken is cooked through, turning occasionally, 25 to 30 minutes. Transfer chicken to platter. Add olives and 2 tablespoons lemon juice to skillet. Increase heat to high; boil uncovered to thicken slightly, about 5 minutes. Season with salt and pepper. Pour over chicken.
Cut 1 lemon into 8 wedges. Squeeze enough juice from second lemon to measure 2 tablespoons; set wedges and juice aside. Heat oil in large skillet over medium-high heat. Add onion and sprinkle with salt and pepper; sauté until golden brown, about 8 minutes. Add next 5 ingredients; stir 1 minute. Add broth; bring to boil. Sprinkle chicken with salt and pepper; add to skillet. Add lemon wedges. Cover, reduce heat to medium-low, and simmer until chicken is cooked through, turning occasionally, 25 to 30 minutes. Transfer chicken to platter. Add olives and 2 tablespoons lemon juice to skillet. Increase heat to high; boil uncovered to thicken slightly, about 5 minutes. Season with salt and pepper. Pour over chicken.",Moroccan Chicken with Green Olives and Lemon 
"['10 to 12 lemons (2 1/2 to 3 lb)', '2/3 cup kosher salt', '1/4 cup extra-virgin olive oil', 'a 4- to 6-cup jar with a tight-fitting lid']","Blanch 6 lemons in boiling water 5 minutes, then drain. Cut each lemon into 8 wedges and discard seeds. Toss with kosher salt in a bowl, then firmly pack with salt into jar. Squeeze enough juice from remaining lemons to measure 1 cup. Add enough juice to cover lemons and screw on lid. Let stand at room temperature, shaking jar gently once a day, 5 days. Add oil to lemons and chill, covered.
Blanch 6 lemons in boiling water 5 minutes, then drain. Cut each lemon into 8 wedges and discard seeds. Toss with kosher salt in a bowl, then firmly pack with salt into jar.
Squeeze enough juice from remaining lemons to measure 1 cup. Add enough juice to cover lemons and screw on lid. Let stand at room temperature, shaking jar gently once a day, 5 days. Add oil to lemons and chill, covered.",Moroccan-Style Preserved Lemons 
"['2 tablespoons sugar', '1 tablespoon fresh lemon juice', '2 teaspoons sweet paprika', '1 teaspoon ground cumin', '1/2 teaspoon cinnamon', '1/4 teaspoon cayenne', '1 teaspoon salt', '1/4 cup olive oil', '1 1/2 lb medium carrots (8)', '1 1/4 cups green olives (6 to 7 oz) such as Cerignola or picholine, pitted', '3 tablespoons drained bottled capers, rinsed', '1/4 cup chopped fresh flat-leaf parsley', '1 flat anchovy fillet, chopped', '1 teaspoon finely grated fresh lemon zest', '1 1/2 tablespoons fresh lemon juice', '1/2 teaspoon black pepper', '1/4 cup olive oil', '12 slices good-quality pumpernickel sandwich bread', '6 oz soft mild goat cheese (3/4 cup) at room temperature', 'Special equipment: an adjustable-blade slicer']","Prepare carrots: Whisk together sugar, lemon juice, spices, salt, and oil in a large bowl until sugar is dissolved. Halve carrots crosswise on a long diagonal, then, starting from diagonal ends, cut into 1/16-inch-thick slices using slicer. Cook carrots in a 4- to 5-quart pot of boiling salted water until crisp-tender, about 45 seconds. Drain well in a colander and immediately toss with dressing. Cool to room temperature, stirring occasionally, then marinate, covered and chilled, at least 4 hours.
Whisk together sugar, lemon juice, spices, salt, and oil in a large bowl until sugar is dissolved.
Halve carrots crosswise on a long diagonal, then, starting from diagonal ends, cut into 1/16-inch-thick slices using slicer. Cook carrots in a 4- to 5-quart pot of boiling salted water until crisp-tender, about 45 seconds. Drain well in a colander and immediately toss with dressing. Cool to room temperature, stirring occasionally, then marinate, covered and chilled, at least 4 hours.
Make tapenade and assemble sandwiches: Pulse olives with capers, parsley, anchovy, zest, lemon juice, and pepper in a food processor until coarsely chopped, then scrape down side of bowl with a rubber spatula. Pulsing motor, add oil in a slow stream and continue to pulse until mixture is finely chopped (do not pulse to a paste). Spread tapenade on 6 slices of bread and goat cheese on remaining 6 slices, then make sandwiches with carrots.
Pulse olives with capers, parsley, anchovy, zest, lemon juice, and pepper in a food processor until coarsely chopped, then scrape down side of bowl with a rubber spatula. Pulsing motor, add oil in a slow stream and continue to pulse until mixture is finely chopped (do not pulse to a paste).
Spread tapenade on 6 slices of bread and goat cheese on remaining 6 slices, then make sandwiches with carrots.",Moroccan Carrot and Goat Cheese Sandwiches with Green Olive Tapenade 
"['1 teaspoon olive oil', '1 cup chopped leeks (or onions)', '3 cloves garlic, chopped', '2 teaspoons chopped fresh oregano', '2 teaspoons curry powder', '1 teaspoon allspice', '1/8 teaspoon freshly ground black pepper', '2 cups chopped fresh tomato', '1 large green bell pepper, cored, seeded and thinly sliced', '2 celery stalks, thinly sliced', '2 tablespoons low-sodium soy sauce', '1/2 cup low-sodium, fat-free vegetable stock', '2 large carrots, peeled and thinly sliced', '1 cup cauliflower florets', '1 cup broccoli florets', '1/2 cup low-sodium, fat-free vegetable stock', '4 cups fresh spinach', '2 large zucchini, cut into 1/4-inch chunks', '4 fillets black sea bass (about 6 ounces each)', '1 cup couscous', '2 teaspoons pine nuts', '1/4 cup fresh dill, chopped', '1/4 cup crumbled feta']","Line a 9"" x 12"" baking dish with foil. Set aside. Heat oven to 400°F. Heat oil in a large saucepan over medium heat. Cook leeks, garlic, oregano, curry, allspice and black pepper until leeks become translucent, stirring, 2 to 3 minutes. Add tomato, bell pepper, celery and soy sauce. Cook until pepper softens, 2 to 3 minutes. Add stock. Simmer, covered, 25 to 30 minutes. Place carrots, cauliflower, broccoli and stock in prepared dish. Bake until vegetables begin to soften, 10 to 12 minutes. Remove from oven. Add spinach and zucchini. Place fish on top of vegetables. Drizzle with sauce. Bake until fish is cooked through and vegetables are tender, 15 to 20 minutes. While fish cooks, prepare couscous as directed on package. Top each plate with 1/4 cup couscous, 1/4 of vegetables and 1 fillet. Sprinkle with pine nuts, dill and feta. Serve immediately.
Line a 9"" x 12"" baking dish with foil. Set aside. Heat oven to 400°F. Heat oil in a large saucepan over medium heat. Cook leeks, garlic, oregano, curry, allspice and black pepper until leeks become translucent, stirring, 2 to 3 minutes. Add tomato, bell pepper, celery and soy sauce. Cook until pepper softens, 2 to 3 minutes. Add stock. Simmer, covered, 25 to 30 minutes. Place carrots, cauliflower, broccoli and stock in prepared dish. Bake until vegetables begin to soften, 10 to 12 minutes. Remove from oven. Add spinach and zucchini. Place fish on top of vegetables. Drizzle with sauce. Bake until fish is cooked through and vegetables are tender, 15 to 20 minutes. While fish cooks, prepare couscous as directed on package. Top each plate with 1/4 cup couscous, 1/4 of vegetables and 1 fillet. Sprinkle with pine nuts, dill and feta. Serve immediately.",Black Sea Bass with Moroccan Vegetables and Chile Sauce 
"['Scant teaspoon cumin seeds', '1 pound firm eggplant', '1 small red onion, chopped (1/4 cup)', '2 teaspoons red-wine vinegar', '1 teaspoon sugar', '2 tablespoons extra-virgin olive oil, divided', '2 tablespoons chopped flat-leaf parsley, divided', 'an electric coffee/spice grinder', 'toasted pita']","<epi recipelink="""" id=""105622"">Toast</epi> cumin in a dry 10-inch heavy skillet (preferably cast-iron) over medium heat, stirring occasionally, until fragrant and dark brown (be careful not to burn). Cool, then grind to a powder in grinder. Pan-roast whole eggplant in skillet over medium heat, turning frequently with tongs, until blackened and tender, 20 to 30 minutes. Transfer to a cutting board and cut off and discard stem. Scrape flesh from skin and coarsely chop. Toss with onion, vinegar, sugar, 1 tablespoon oil, 1 tablespoon parsley, 1/2 teaspoon toasted cumin, and 1/2 teaspoon salt. Serve in a shallow bowl drizzled with remaining tablespoon oil and sprinkled with remaining tablespoon parsley and toasted cumin.
<epi recipelink="""" id=""105622"">Toast</epi> cumin in a dry 10-inch heavy skillet (preferably cast-iron) over medium heat, stirring occasionally, until fragrant and dark brown (be careful not to burn). Cool, then grind to a powder in grinder.
Pan-roast whole eggplant in skillet over medium heat, turning frequently with tongs, until blackened and tender, 20 to 30 minutes.
Transfer to a cutting board and cut off and discard stem. Scrape flesh from skin and coarsely chop. Toss with onion, vinegar, sugar, 1 tablespoon oil, 1 tablespoon parsley, 1/2 teaspoon toasted cumin, and 1/2 teaspoon salt.
Serve in a shallow bowl drizzled with remaining tablespoon oil and sprinkled with remaining tablespoon parsley and toasted cumin.",Moroccan Eggplant Salad 
"['1 teaspoon ground cumin', '1 teaspoon ground coriander seeds', '3/4 teaspoon ground cinnamon', '1/8 teaspoon salt', '1/8 teaspoon freshly ground black pepper', '2 teaspoons olive oil', 'two 3/4 inch-thick boneless sirloin steaks (about 1 pound total)', 'Accompaniment:Creamy mint-cilantro chutney']","Prepare grill. In a shallow bowl stir together all ingredients except steaks. Add steaks and rub with spice mixture. Let steaks stand, covered, at room temperature 15 minutes. Grill steaks on an oiled rack set 5 to 6 inches over glowing coals about 3 minutes on each side for medium-rare. (Alternatively, broil steaks under a preheated broiler 3 to 4 inches from heat.)
Prepare grill.
In a shallow bowl stir together all ingredients except steaks. Add steaks and rub with spice mixture. Let steaks stand, covered, at room temperature 15 minutes.
Grill steaks on an oiled rack set 5 to 6 inches over glowing coals about 3 minutes on each side for medium-rare. (Alternatively, broil steaks under a preheated broiler 3 to 4 inches from heat.)
Serve steaks with chutney.
Serve steaks with chutney.",Moroccan Spiced Beef 
"['1/4 cup coarsely chopped fresh coriander', '1/4 cup coarsely chopped fresh parsley leaves', '1 garlic clove, minced', '2 tablespoons fresh lemon juice', '1/2 teaspoon paprika', '1/2 teaspoon ground cumin', '1/8 teaspoon cayenne, or to taste', '3 tablespoons vegetable oil plus additional for frying the fish', '1 pound skinless firm-fleshed white fish filet, such as cod or halibut, cut into 4 equal pieces', 'all-purpose flour seasoned with salt and pepper for dredging the fish']","In a food processor or blender purée the coriander, the parsley, the garlic, the lemon juice, the paprika, the cumin, the cayenne, 3 tablespoons of the oil, and salt and pepper to taste. In a skillet heat 1 inch of the additional oil to 375°F. on a deep-fat thermometer, dredge the fish in the flour, shaking off the excess, and in the oil fry it, turning it once, for 1-1/2 to 2 minutes on each side, or until it is cooked through. Transfer the fish to paper towels to drain, divide it between 2 plates, and drizzle the sauce over it.
In a food processor or blender purée the coriander, the parsley, the garlic, the lemon juice, the paprika, the cumin, the cayenne, 3 tablespoons of the oil, and salt and pepper to taste. In a skillet heat 1 inch of the additional oil to 375°F. on a deep-fat thermometer, dredge the fish in the flour, shaking off the excess, and in the oil fry it, turning it once, for 1-1/2 to 2 minutes on each side, or until it is cooked through. Transfer the fish to paper towels to drain, divide it between 2 plates, and drizzle the sauce over it.",Fried Fish with Moroccan-Style Herb Sauce 
"['4 large eggs', '1 tablespoon cumin seeds', '1/2 lb Italian frying peppers, cut into 2- by 1/4-inch strips', '1 large onion, halved lengthwise, then cut lengthwise into 1/4-inch-thick slices', '3/4 lb boiling potatoes, peeled and thinly sliced crosswise', '1/2 teaspoon salt', '1/4 teaspoon black pepper', '3 tablespoons extra-virgin olive oil', '4 Portuguese, challah, or kaiser rolls (about 4 inches in diameter)', 'Special equipment: an electric coffee/spice grinder', 'Accompaniments: extra-virgin olive oil; harissa (spicy North African condiment) or cayenne (optional)']","Cover eggs with cold water by 1 1/2 inches in a 1 1/2- to 2-quart saucepan and bring to a rolling boil, partially covered. Reduce heat to low and cook eggs, covered, 30 seconds. Remove from heat and let eggs stand in hot water, covered, 15 minutes. Rinse eggs under cold water 5 minutes to stop cooking. Peel eggs and quarter lengthwise. Meanwhile, toast cumin seeds in a dry 12-inch heavy skillet over moderate heat, stirring, until fragrant and a few shades darker, about 4 minutes. Transfer to a bowl to cool, then grind to a powder in grinder. Transfer to a small serving bowl. Cook peppers, onion, potatoes, salt, and pepper in oil in same skillet over moderate heat, covered, stirring occasionally, until vegetables are browned and very tender, 15 to 20 minutes. Season with salt and pepper. Cut off an end of each roll and pull out some of bread from center to form a wide deep pocket in each roll. Put 2 egg quarters in bottom of each pocket and fill with vegetable mixture. Top filling in each sandwich with 2 of remaining egg quarters and sprinkle with some of cumin. Serve sandwiches with remaining cumin and oil and harissa for seasoning.
Cover eggs with cold water by 1 1/2 inches in a 1 1/2- to 2-quart saucepan and bring to a rolling boil, partially covered. Reduce heat to low and cook eggs, covered, 30 seconds. Remove from heat and let eggs stand in hot water, covered, 15 minutes. Rinse eggs under cold water 5 minutes to stop cooking. Peel eggs and quarter lengthwise.
Meanwhile, toast cumin seeds in a dry 12-inch heavy skillet over moderate heat, stirring, until fragrant and a few shades darker, about 4 minutes. Transfer to a bowl to cool, then grind to a powder in grinder. Transfer to a small serving bowl.
Cook peppers, onion, potatoes, salt, and pepper in oil in same skillet over moderate heat, covered, stirring occasionally, until vegetables are browned and very tender, 15 to 20 minutes. Season with salt and pepper.
Cut off an end of each roll and pull out some of bread from center to form a wide deep pocket in each roll. Put 2 egg quarters in bottom of each pocket and fill with vegetable mixture. Top filling in each sandwich with 2 of remaining egg quarters and sprinkle with some of cumin.
Serve sandwiches with remaining cumin and oil and harissa for seasoning.",Moroccan-Style Potato and Egg Sandwiches 
"['1 cup sugar', '1 stick unsalted butter, melted', '3/4 cup whole almonds, toasted, cooled, and coarsely chopped', '2 tablespoons orange-flower water', '2 teaspoons anise seeds', '1 teaspoon pure vanilla extract', '1/2 teaspoon pure almond extract', '1/4 cup plus 1 tablespoon sesame seeds, toasted and cooled, divided', '3 large eggs', '2 1/2 cups all-purpose flour', '1 1/2 teaspoons baking powder', '1/4 teaspoon salt', '1 large egg beaten with 1 tablespoon water for egg wash']","Stir together sugar, butter, almonds, orange-flower water, anise seeds, extracts, and 1/4 cup sesame seeds in a large bowl. Add eggs and stir until well combined. Stir in flour, baking powder, and salt until just combined. Chill dough, covered, 1 hour. Preheat oven to 350°F with rack in middle. Using moistened hands, halve dough and form 2 (11- by 3-inch) loaves on an ungreased baking sheet. Brush with enough egg wash to coat, then sprinkle with remaining tablespoon sesame seeds. Bake until pale golden, about 30 minutes. Loosen from baking sheet with a spatula, then transfer loaves to a rack and cool 15 minutes. (Leave oven on.) Cut warm loaves into 3/4-inch slices with a serrated knife and arrange biscuits, with a cut side down, on a clean baking sheet. Bake until golden, 20 to 25 minutes. Transfer to rack to cool completely.
Stir together sugar, butter, almonds, orange-flower water, anise seeds, extracts, and 1/4 cup sesame seeds in a large bowl. Add eggs and stir until well combined. Stir in flour, baking powder, and salt until just combined. Chill dough, covered, 1 hour.
Preheat oven to 350°F with rack in middle.
Using moistened hands, halve dough and form 2 (11- by 3-inch) loaves on an ungreased baking sheet. Brush with enough egg wash to coat, then sprinkle with remaining tablespoon sesame seeds.
Bake until pale golden, about 30 minutes. Loosen from baking sheet with a spatula, then transfer loaves to a rack and cool 15 minutes. (Leave oven on.)
Cut warm loaves into 3/4-inch slices with a serrated knife and arrange biscuits, with a cut side down, on a clean baking sheet. Bake until golden, 20 to 25 minutes. Transfer to rack to cool completely.",Moroccan Tea Biscuits 
"['1/3 cup peanut, grapeseed, or vegetable oil', '2 bunches of Swiss chard or beet leaves with stems, coarsely chopped (about 1 pound)', '4 cloves garlic, minced', 'Salt to taste', '1 teaspoon sweet paprika', '1 teaspoon ground cumin', '1 teaspoon harissa*, or to taste', '1/4 cup white vinegar or lemon juice', 'Freshly ground pepper to taste']","Heat the oil in a medium skillet. Toss in the garlic, sautéing until just fragrant, then add the chard and cook for a few minutes. Sprinkle on a little salt, the paprika, cumin, and harissa, and cook for another minute, stirring. Pour the vinegar or lemon juice into the pan, and cook for another minute, or until it has begun to evaporate. Season with salt and freshly ground pepper to taste. Serve at room temperature.
Heat the oil in a medium skillet. Toss in the garlic, sautéing until just fragrant, then add the chard and cook for a few minutes. Sprinkle on a little salt, the paprika, cumin, and harissa, and cook for another minute, stirring. Pour the vinegar or lemon juice into the pan, and cook for another minute, or until it has begun to evaporate. Season with salt and freshly ground pepper to taste. Serve at room temperature.",Moroccan Beet Leaf or Swiss Chard Salad (Salade de Blettes) 
"['1 pound carrots, coarsely grated (about 4 cups)', '1/4 cup vegetable oil or extra-virgin olive oil', '3 to 4 tablespoons fresh lemon juice', '1/4 cup chopped fresh cilantro or parsley', '2 to 4 cloves garlic, mashed or minced', '1 teaspoon ground cumin or 1/2 teaspoon ground cumin and 1/4 teaspoon ground cinnamon', '1 teaspoon sweet paprika', 'Pinch of salt', 'About 1/2 teaspoon harissa (Northwest African chili paste), 1 tablespoon minced green chilies, or 1/4 to 1/2 teaspoon cayenne (optional)']","In a large bowl, mix together all the ingredients. Cover and let marinate in the refrigerator for at least 2 hours or up to 2 days to allow the flavors to meld and permeate the carrots. Served chilled or at room temperature.
In a large bowl, mix together all the ingredients. Cover and let marinate in the refrigerator for at least 2 hours or up to 2 days to allow the flavors to meld and permeate the carrots. Served chilled or at room temperature.
VARIATIONS Moroccan Cooked Carrot Salad (Shlata Chizo Metbucha): o not grate the carrots, but cut them on a diagonal into 1/4-inch-thick slices. Cook in gently boiling water until crisp-tender, about 10 minutes. Drain, rinse under cold water, and drain again. Toss with the dressing as above. **Moroccan Carrot-Orange Salad (Shlata Chizo):**Omit the cumin and add 1 1/2 teaspoons orange blossom water or 1/2 cup fresh orange juice, 1/4 cup chopped fresh spearmint, and, if desired, 1 tablespoon sugar or honey. **Turkish Carrot Salad with Yogurt (Havuc Salatasi):**Substitute 1 cup plain yogurt for the lemon juice.
Moroccan Cooked Carrot Salad (Shlata Chizo Metbucha): o not grate the carrots, but cut them on a diagonal into 1/4-inch-thick slices. Cook in gently boiling water until crisp-tender, about 10 minutes. Drain, rinse under cold water, and drain again. Toss with the dressing as above. **Moroccan Carrot-Orange Salad (Shlata Chizo):**Omit the cumin and add 1 1/2 teaspoons orange blossom water or 1/2 cup fresh orange juice, 1/4 cup chopped fresh spearmint, and, if desired, 1 tablespoon sugar or honey. **Turkish Carrot Salad with Yogurt (Havuc Salatasi):**Substitute 1 cup plain yogurt for the lemon juice.",Moroccan Raw Carrot Salad 
"['5 juniper berries', '3 garlic cloves', '3 cups dry red wine', '3 1/2 pounds boneless lamb shoulder', '2 medium onions', '2 garlic cloves', '3 tablespoons vegetable oil', '1/2 teaspoon cinnamon', '1/2 teaspoon saffron threads, crumbled', '1 1/2 cups veal demiglace', '1/3 cup red-currant jelly', '3 medium quinces (about 1 1/2 pounds total)', '1 lemon', '3 celery ribs', '1/2 cup dried cranberries (about 3 ounces)', 'Accompaniment:Pistachio Couscous']","Make marinade: Crush juniper berries and mince garlic cloves. In a large bowl stir together garlic, wine, and juniper berries. Trim lamb and cut into 2-inch cubes. Stir lamb into marinade. Marinate lamb, covered and chilled, at least 12 hours and up to 1 day. In a large sieve set over a bowl drain lamb, reserving marinade. Chop onions and mince garlic. In an 8-quart heavy kettle heat oil over moderate heat until hot but not smoking and cook onions with garlic, cinnamon, and saffron, stirring occasionally, until onions are softened. With a slotted spoon transfer onion mixture to a large bowl. Pat lamb dry and season with salt and pepper. In kettle brown lamb in batches, without crowding, over moderately high heat, stirring occasionally, transferring as browned with a slotted spoon to bowl with onion mixture. Return lamb and onion mixture to kettle and add reserved marinade, demiglace, and jelly. Simmer mixture, covered, stirring occasionally, 45 minutes. Peel, quarter, and core quinces. Cut quarters lengthwise into 1/4-inch-thick slices. With a vegetable peeler remove zest from lemon in lengthwise strips. Diagonally cut celery ribs into 1/2-inch-thick slices.
Crush juniper berries and mince garlic cloves. In a large bowl stir together garlic, wine, and juniper berries.
Trim lamb and cut into 2-inch cubes. Stir lamb into marinade. Marinate lamb, covered and chilled, at least 12 hours and up to 1 day. In a large sieve set over a bowl drain lamb, reserving marinade.
Chop onions and mince garlic. In an 8-quart heavy kettle heat oil over moderate heat until hot but not smoking and cook onions with garlic, cinnamon, and saffron, stirring occasionally, until onions are softened. With a slotted spoon transfer onion mixture to a large bowl.
Pat lamb dry and season with salt and pepper. In kettle brown lamb in batches, without crowding, over moderately high heat, stirring occasionally, transferring as browned with a slotted spoon to bowl with onion mixture. Return lamb and onion mixture to kettle and add reserved marinade, demiglace, and jelly. Simmer mixture, covered, stirring occasionally, 45 minutes.
Peel, quarter, and core quinces. Cut quarters lengthwise into 1/4-inch-thick slices. With a vegetable peeler remove zest from lemon in lengthwise strips. Diagonally cut celery ribs into 1/2-inch-thick slices.
Add quince and zest to lamb mixture and simmer, covered, stirring occasionally, until quince is tender, about 45 minutes. Stir in celery and cranberries and simmer, uncovered, stirring occasionally, until celery is tender, about 15 minutes. Season stew with salt and pepper. (Stew may be made 1 day ahead and cooled completely before being chilled, covered.) Serve stew with couscous.
Add quince and zest to lamb mixture and simmer, covered, stirring occasionally, until quince is tender, about 45 minutes. Stir in celery and cranberries and simmer, uncovered, stirring occasionally, until celery is tender, about 15 minutes. Season stew with salt and pepper. (Stew may be made 1 day ahead and cooled completely before being chilled, covered.)
Serve stew with couscous.",Moroccan Lamb and Quince Stew 
