title,ingredients,directions
Moroccan-Style Salmon,"[""1 small onion, sliced"", ""1 Tbsp. olive oil"", ""4 tsp. honey"", ""1 tsp. grated lemon rind"", ""3/4 tsp. ground cumin"", ""salt, black pepper and cayenne pepper to taste"", ""2 Tbsp. each: chopped, toasted almonds and cilantro"", ""2 cloves garlic, minced"", ""3 1/2 c. diced, peeled fresh tomatoes or 1 (28 oz. tea) can whole, peeled tomatoes, coarsely chopped"", ""1 1/2 tsp. lemon juice"", ""6 salmon fillets (4 to 6 oz. each), thawed if necessary"", ""3 c. cooked couscous""]","[""Cook onion and garlic in oil in a medium skillet over medium heat until golden."", ""Stir in tomatoes, tomato liquid, honey, lemon rind and cumin."", ""Simmer for 10 to 15 minutes."", ""Stir in lemon juice and season with salt, pepper and cayenne to taste.""]"
Moroccan Chicken,"[""12 oz. cubed boneless, skinless chicken breasts"", ""1 large onion, chopped"", ""1 clove garlic, minced"", ""1 c. defatted reduced sodium chicken broth"", ""1 (16 oz.) can reduced sodium tomatoes (with juice)"", ""1 (15 oz.) can chick peas, rinsed and drained"", ""1/2 c. raisins"", ""3 Tbsp. chopped fresh parsley"", ""1 tsp. dried thyme leaves"", ""1 tsp. ground cumin"", ""1/4 tsp. ground cinnamon"", ""freshly ground black pepper"", ""salt (optional)"", ""3 c. hot cooked rice""]","[""Raisins and onions add a bit of sweetness to this mix of flavors and textures.""]"
Moroccan Pasta,"[""12 oz. angel hair pasta"", ""1 red pepper, chopped"", ""1/2 small red onion, chopped"", ""1/2 medium zucchini, chopped"", ""1 tsp. salt"", ""1 tsp. curry powder"", ""1 Tbsp. olive oil"", ""1/2 c. chicken broth"", ""1/4 c. seedless raisins (optional)""]","[""Cook pasta according to package. In large saucepan over medium heat, cook red pepper, onion, zucchini, salt and curry in hot oil for 3 minutes or until crisp-tender. Stir in broth. Bring to boil; boil for 1 minute or until slightly thickened. Drain pasta and add vegetable mixture with raisins.""]"
Aku Steaks Moroccan Style,"[""1 tsp. paprika"", ""1/2 tsp. ground cumin"", ""1 tsp. turmeric"", ""1/4 tsp. ground anise seed"", ""1/2 tsp. ground ginger"", ""1/8 tsp. ground cinnamon"", ""1/4 tsp. red hot pepper flakes"", ""salt and fresh ground pepper to taste"", ""4 tuna steaks (1 1/2 lb. total weight, cut 1 1/2-inches thick)"", ""1 Tbsp. lemon juice"", ""2 Tbsp. olive oil"", ""2 Tbsp. melted butter"", ""4 Tbsp. coarsely chopped coriander""]","[""Combine all spices in a small bowl and blend well."", ""Rub each side of tuna with spice mixture and sprinkle evenly with lemon and oil."", ""Cover with plastic wrap and let stand for 1 hour."", ""Broil on a rack for 4 minutes, 4-inches from flame."", ""Turn and continue to cook for 3 to 4 minutes for medium done."", ""The steaks should be well browned."", ""Place on plates."", ""Brush with melted butter."", ""Sprinkle with coriander."", ""Serves 4 people.""]"
Moroccan-Style Fish,"[""12 oz. fresh fillets"", ""3/4 c. reduced sodium chicken broth"", ""1 Tbsp. reduced sodium soy sauce"", ""2 tsp. cornstarch"", ""1/2 tsp. five-spice powder"", ""1/4 c. mixed dried fruit bits or raisins"", ""2 Tbsp. thinly sliced celery"", ""1 1/3 c. boiling water"", ""2/3 c. couscous"", ""1 Tbsp. fresh parsley"", ""1/8 tsp. salt"", ""nonstick spray"", ""1 Tbsp. reduced-sodium soy sauce""]","[""Cut fish into serving size pieces."", ""For sauce, in a small saucepan, combine chicken broth, 1 tablespoon soy sauce, cornstarch and five-spice powder."", ""Stir in dried fruit bits or raisins and celery."", ""Cook and stir sauce until thickened and bubbly."", ""Cook and stir for 2 minutes more."", ""Cover the sauce to keep warm."", ""In a medium mixing bowl, combine boiling water, couscous, parsley and salt."", ""Cover; let stand for 5 minutes.""]"
Chicken Breasts Moroccan,"[""1 1/2 lemons"", ""6 medium-size chicken breasts, boiled, washed and patted dry"", ""1/2 tsp. salt"", ""2 Tbsp. unsalted butter"", ""4 large shallots, minced"", ""1/2 c. dry white wine"", ""1 tsp. dried oregano"", ""1/4 tsp. pepper"", ""2 Tbsp. olive oil"", ""1 clove garlic, minced"", ""1/4 c. freshly chopped parsley"", ""1/2 c. chicken broth"", ""fresh coriander or parsley (garnish)""]","[""Preheat oven to 350\u00b0."", ""Peel the lemons and cut the lemon rind into julienne strips. Squeeze juice from lemon and reserve.""]"
Moroccan Bean Stew,"[""1 lb. dried baby lima beans"", ""2 c. orange juice"", ""2 c. water"", ""4 chicken or beef bouillon cubes"", ""1 large onion, chopped"", ""3 tsp. fines herbes"", ""1 Tbsp. ground cinnamon"", ""1 lb. hot Italian sausage or spicy turkey sausage, cooked, drained and cut into 1/2-inch pieces"", ""1 (10 oz.) pkg. frozen peas, thawed"", ""2 c. Jarlsberg lite cheese, shredded""]","[""Soak beans overnight in 2 quarts of water or boil 2 minutes and allow to stand 1 hour; drain beans and place in Dutch oven or large, heavy pan."", ""Cover with orange juice and water."", ""Add bouillon cubes, onion, herbes, cinnamon and sausage."", ""Cover and simmer, stirring occasionally, for 45 minutes or until beans are tender."", ""Remove from heat; stir in peas and cheese."", ""Serve with white, yellow or saffron rice."", ""Yields 6 to 8 servings.""]"
Moroccan Snapper In Parchment(Serves 2)  ,"[""1 medium red pepper"", ""1 medium yellow pepper"", ""1 to 2 pieces green onion"", ""1 tsp. extra virgin olive oil"", ""1 medium garlic clove, minced"", ""2 tsp. fresh parsley, minced"", ""1/8 tsp. cumin seed, ground"", ""1/8 tsp. coriander, ground"", ""1/8 tsp. red pepper"", ""1 tsp. lemon peel, grated"", ""1/8 tsp. pepper"", ""2 red snapper fillets (4 oz. each)"", ""1 medium lemon""]","[""Stem and seed peppers; cut into very thin strips."", ""Slice green onion in diagonal slices."", ""Slice lemon into 6 slices.""]"
Moroccan Pound Cake,"[""2/3 c. oleo"", ""1/2 c. vegetable shortening"", ""2 c. granulated sugar"", ""4 eggs"", ""3 c. all-purpose flour"", ""3 tsp. baking powder"", ""1/4 tsp. salt"", ""1 c. milk"", ""1 tsp. vanilla"", ""1/2 c. raisins"", ""3/4 c. chopped unsalted mixed nuts"", ""1 Tbsp. each cocoa and cinnamon""]","[""Cream margarine and granulated sugar until light."", ""Add eggs, one at a time, beating thoroughly after each."", ""Add sifted dry ingredients alternately with milk, beating until smooth."", ""Add vanilla, raisins and nuts."", ""Pour 3/4 of batter into a 10-inch tube pan lined on bottom with waxed paper."", ""Mix remaining batter with cocoa and cinnamon and spoon onto batter in pan."", ""Run a knife through batter to marbleize."", ""Bake at 350\u00b0 about 1 hour and 15 minutes."", ""Let stand in pan 5 minutes, then turn out on rack; peel off paper."", ""Cool and sprinkle with powdered sugar.""]"
Moroccan Spiced Lamb Chops(Prep  Time: 5 Minutes; Cooking Time: 10 Minutes.)  ,"[""1 Tbsp. ground cumin"", ""2 tsp. ground turmeric"", ""1 tsp. paprika"", ""1 tsp. ground coriander seed"", ""1 tsp. garlic salt"", ""1/2 tsp. crushed red pepper flakes"", ""8 (5 oz.) loin lamb chops (1-inch thick)"", ""1 Tbsp. extra virgin olive oil"", ""lemon wedges (for garnish)""]","[""Preheat a grill pan over medium-high heat. In a small bowl, combine cumin, turmeric, paprika, coriander, garlic salt and pepper flakes. Brush chops all over with oil; rub spice mixture over both sides of chops to coat. Grill chops, turning once, 9 minutes for medium rare and 11 minutes for medium doneness. Garnish with lemon wedges, if desired. Makes 4 servings; 490 cal., 35 g. fat.""]"
Tagine(Moroccan Chicken)  ,"[""4 lemons, quartered"", ""1 1/2 to 2 chickens, cut up"", ""1/4 c. water"", ""1 c. oil"", ""1 Tbsp. paprika"", ""3/4 Tbsp. salt"", ""1/2 Tbsp. cumin"", ""1 pkg. saffron"", ""1 medium bottle green olives"", ""1 c. fresh parsley"", ""medium size potatoes (I use canned whole potatoes)"", ""canned (not marinated) artichokes""]","[""Start lemons boiling in brine (salt water)."", ""Mix oil, paprika, salt, cumin, saffron and pepper. Combine and brush over or dip chicken. Place, covered, in a 350\u00b0 oven for 1/2 hour after adding water."", ""Add lemons plus olives, parsley, potatoes and artichokes. Bake 1 1/2 hours more, basting well."", ""Serve with French bread. (If you use fresh potatoes, be sure they are sitting in the liquid or they don't cook well.)""]"
Moroccan Preserved Lemons,"[""6 organic lemons"", ""1/4 cup kosher salt"", ""1 cup lukewarm water, or as needed""]","[""Scrub lemons thoroughly under cold running water. Cut each lemon into quarters, but do not cut all the way through the top, so that the lemon still holds together."", ""Rub lemons generously with salt inside and out and along all the cuts. Place them in a large sterilized jar with a tight-fitting lid. Add lukewarm water to cover; the lemons should be fully immersed. Screw on the lid and let cure for 1 month in a dark, dry, and cool place.""]"
Moroccan Inspired Apricot-Braised Chicken,"[""1 tablespoon olive oil"", ""4 chicken thighs"", ""1 large onion, halved lengthwise and cut into thick slices"", ""1 tablespoon minced garlic"", ""1/2 cup unsulfured apricots, halved"", ""1/2 teaspoon ground ginger"", ""1/2 teaspoon ground cumin"", ""1/2 teaspoon ground allspice"", ""1 cup beer (preferably lager)"", ""salt and pepper to taste""]","[""Heat olive oil in a deep skillet over medium-high heat. Brown chicken thighs on both sides until golden, about 3 minutes per side. Set chicken aside, then stir in onion and garlic; cook for 1 to 2 minutes until the onion has softened. Stir in apricots and season with ginger, cumin, and allspice. Cook for 1 minute until spices are fragrant."", ""Pour beer into pan, scraping the bottom of the pan to dissolve the browned bits. Add chicken, cover, and reduce heat to medium-low. Simmer gently until the chicken begins to fall away from the bone, about 30 minutes.""]"
Lamb Chops With Preserved Lemon (Moroccan Style),"[""1/4 cup chopped fresh cilantro"", ""1/4 cup chopped fresh parsley"", ""1/4 cup chopped fresh mint"", ""4 cloves garlic, minced"", ""1/4 cup chopped Moroccan preserved lemon"", ""1 tablespoon olive oil"", ""ground black pepper to taste"", ""1 (7 bone) rack of lamb, trimmed and frenched"", ""1/4 cup slivered kalamata olives"", ""1 red bell pepper, thinly sliced""]","[""Stir cilantro, parsley, and mint together in a small saucepan. Remove half of the herb mixture, and set aside. Stir the garlic, lemon, olives, olive oil, and black pepper into the remaining herbs. Spread 2 tablespoons of this mixture onto the lamb rack. Wrap the exposed bones with aluminum foil to keep them from burning. Stir the olives and bell pepper into the reserved mixture and keep warm over low heat."", ""Preheat an outdoor grill for medium heat."", ""Cook the lamb rack on the preheated grill until cooked to desired degree of doneness, about 4 minutes per side for medium-rare. Baste occasionally with the warmed relish. Once cooked, remove from grill, and allow to rest for 5 minutes before slicing into individual chops."", ""To serve, arrange lamb chops on a platter, spoon some of the warmed relish over them, and sprinkle with the reserved chopped herbs.""]"
"Moroccan Chicken Tagine With Preserved Lemons, Fennel, Olives, And Harissa","[""1 teaspoon ground paprika"", ""1 teaspoon ground cumin"", ""1 teaspoon salt"", ""1/2 teaspoon ground cayenne"", ""1/2 teaspoon ground cinnamon"", ""1/2 teaspoon ground turmeric"", ""ground black pepper"", ""4 (6 ounce) bone-in chicken thighs, skin removed"", ""2 tablespoons olive oil"", ""1 fennel bulb, trimmed and thinly sliced"", ""1 large red onion, thinly sliced"", ""3 cloves garlic, minced, or more to taste"", ""1 (15 ounce) can garbanzo beans, drained, divided"", ""1 cup chicken broth"", ""1 cup pitted green olives, divided"", ""3 tablespoons harissa, or to taste"", ""1/2 preserved lemon, thinly sliced, divided"", ""1 teaspoon grated ginger root (optional)"", ""5 cherry tomatoes, halved, or more to taste"", ""1/4 cup toasted almonds""]","[""Mix paprika, cumin, salt, cayenne, cinnamon, turmeric, and black pepper together in a small bowl."", ""Pat chicken thighs dry and place them in a resealable plastic bag. Sprinkle paprika mixture over chicken thighs; massage the bag to coat chicken evenly."", ""Heat oil in a tagine over medium heat. Add chicken; cook until browned, 2 to 4 minutes per side. Transfer to a plate. Cook and stir fennel, onion, and garlic in the tagine. Stir in half of the garbanzo beans, chicken broth, 1/2 cup green olives, harissa, 1/2 of the preserved lemon, and ginger."", ""Lay chicken over garbanzo bean mixture; sprinkle remaining olives on top. Scatter cherry tomatoes on top. Cover and simmer over medium-low heat until chicken is tender, 45 minutes to 1 hour."", ""Combine remaining garbanzo beans with 2 tablespoons of broth from the tagine in a food processor or blender; blend into a thin paste."", ""Transfer chicken to a serving dish. Stir garbanzo bean paste into the tagine. Simmer until flavors combine, about 5 minutes. Spoon broth mixture over chicken."", ""Garnish with remaining preserved lemon and toasted almonds.""]"
Moroccan Fish Tagine,"[""Chermoula Marinade:"", ""1/2 cup olive oil"", ""1/2 cup chopped fresh cilantro"", ""1/2 cup chopped fresh parsley"", ""1/2 lemon, juiced"", ""6 cloves garlic, minced"", ""1 teaspoon ground paprika"", ""1/2 teaspoon ground ginger"", ""1/2 teaspoon ground cumin"", ""1/2 teaspoon salt"", ""1/4 teaspoon ground saffron (optional)"", ""Fish Tagine:"", ""1 1/2 pounds cod fillets, cut into bite-sized pieces"", ""1 tablespoon olive oil"", ""1 large onion, cut into rings"", ""1 large carrot, peeled and cut into matchsticks"", ""2 potatoes, peeled and sliced 1/4-inch thick"", ""1 large green bell pepper, sliced into rings"", ""3 tomatoes, seeded and cut into strips"", ""1/4 cup chopped fresh cilantro""]","[""Mix 1/2 cup olive oil, 1/2 cup cilantro, parsley, lemon juice, garlic, paprika, ginger, cumin, salt, and saffron in a large glass or ceramic bowl. Add cod and mix well. Cover and marinate in the refrigerator for 2 hours."", ""Heat 1 tablespoon olive oil in a large pot or tagine. Layer onion rings, carrot matchsticks, and potato slices in the pot in that order. Remove cod from marinade and spread evenly over potatoes. Cover cod with green bell pepper rings and tomato strips. Sprinkle 1/4 cup cilantro on top. Pour marinade over cilantro."", ""Cover pot tightly and cook over low heat until potatoes are tender and cod flakes easily with a fork, about 1 hour.""]"
Cara'S Moroccan Stew,"[""1 cup French green lentils"", ""3 bay leaves"", ""2 whole garlic cloves"", ""3 tablespoons olive oil"", ""1 teaspoon chopped fresh thyme leaves"", ""1 tablespoon minced garlic"", ""1 tablespoon olive oil"", ""1 teaspoon crushed hot chile flakes"", ""1 teaspoon ground cinnamon"", ""1 teaspoon ground cumin"", ""1 teaspoon ground coriander"", ""1 tablespoon minced garlic"", ""1 cup chopped onions"", ""1 cup chopped celery"", ""1 cup chopped zucchini"", ""1 red bell pepper, diced"", ""1 yellow bell pepper, diced"", ""1 butternut squash - peeled, seeded, and cut into 1-inch cubes"", ""1 (8 ounce) can crushed tomatoes"", ""1 (15 ounce) can chickpeas, drained"", ""4 cups vegetable stock"", ""1 cup chopped fresh flat-leaf parsley"", ""1/2 cup plain yogurt (optional)"", ""2 tablespoons chopped fresh mint (optional)"", ""1/4 teaspoon cayenne pepper (optional)""]","[""Fill a large pot with water and bring to a boil over high heat. Stir in the lentils, bay leaves, and whole garlic cloves. Return to a boil, then reduce heat to low and simmer lentils until they are cooked but still firm, about 10 minutes. Drain well. Place lentils in a bowl; toss with olive oil, thyme, and 1 tablespoon chopped garlic. Remove bay leaves and whole garlic cloves; set aside."", ""Heat 1 tablespoon olive in a large pot over medium heat. Stir in chili flakes, cinnamon, cumin, and coriander and cook until fragrant. Add garlic, onion, celery, zucchini, red and yellow peppers, and squash; cook 3 or 4 minutes."", ""Mix in the lentils, tomatoes, chickpeas, and vegetable stock. Raise heat to medium-high until stew just begins to boil; reduce heat to low and cover. Simmer until squash is tender, about 20 minutes, stirring once or twice. Add the chopped parsley. Ladle into serving bowls and garnish with a dollop of yogurt, some chopped mint, and a pinch of cayenne pepper.""]"
Beghrir (Moroccan Pancakes),"[""1 cup warm water (115 degrees F/46 degrees C)"", ""1/2 teaspoon active dry yeast"", ""1/2 teaspoon white sugar"", ""1 cup milk"", ""1 cup all-purpose flour"", ""1 cup semolina flour"", ""2 eggs"", ""2 teaspoons baking powder"", ""1 teaspoon salt"", ""Sauce:"", ""6 tablespoons butter"", ""3/4 cup honey"", ""1 teaspoon orange-flower water, or to taste (optional)""]","[""Place the water, yeast, and sugar in a blender, and let stand without blending for 5 minutes, until the yeast softens and begins to form a creamy foam. Add the milk, flour, semolina flour, eggs, baking powder, and salt. Blend until the mixture is smooth, about 1 minute. Leave the mixture in the blender to rest for about 30 minutes."", ""Heat a 5-inch nonstick skillet over medium-low heat. Blend the pancake mixture for about 10 seconds, to remix, and scoop 1/4 to 1/3 cup of batter into the heated skillet. Cook the beghrir until bubbles have formed and popped, and the top of the pancake is no longer shiny, about 3 minutes. Do not flip. Adjust the heat as necessary so that the bottoms of the pancakes are just starting to brown when the tops are dry. Blend the batter for 10 seconds or so after cooking 3 or 4 pancakes, to keep the batter fluffy."", ""To make the sauce, place the butter, honey, and flower-water flavoring in a microwave-safe bowl, and microwave on High setting until the butter is melted and the honey is hot, about 1 1/2 minutes. Stir the sauce, and drizzle about 1 tablespoon over each warm pancake to serve.""]"
Moroccan Chicken,"[""1 pound skinless, boneless chicken breast meat - cubed"", ""2 teaspoons salt"", ""1 onion, chopped"", ""2 cloves garlic, chopped"", ""2 carrots, sliced"", ""2 stalks celery, sliced"", ""1 tablespoon minced fresh ginger root"", ""1/2 teaspoon paprika"", ""3/4 teaspoon ground cumin"", ""1/2 teaspoon dried oregano"", ""1/4 teaspoon ground cayenne pepper"", ""1/4 teaspoon ground turmeric"", ""1 1/2 cups chicken broth"", ""1 cup crushed tomatoes"", ""1 cup canned chickpeas, drained"", ""1 zucchini, sliced"", ""1 tablespoon lemon juice""]","[""Season chicken with salt and brown in a large saucepan over medium heat until almost cooked through. Remove chicken from pan and set aside."", ""Saute onion, garlic, carrots and celery in same pan. When tender, stir in ginger, paprika, cumin, oregano, cayenne pepper and turmeric; stir fry for about 1 minute, then mix in broth and tomatoes. Return chicken to pan, reduce heat to low and simmer for about 10 minutes."", ""Add chickpeas and zucchini to pan and bring to simmering once again; cover pan and cook for about 15 minutes, or until zucchini is cooked through and tender. Stir in lemon juice and serve.""]"
Moroccan Chickpea Stew With Quinoa,"[""1 pint cherry tomatoes"", ""3 tablespoons olive oil, or to taste, divided"", ""1 pinch salt and ground black pepper to taste"", ""1 onion, diced"", ""3 cloves garlic, minced, or more to taste"", ""1 1/2 teaspoons smoked paprika"", ""1 1/2 teaspoons ground cumin"", ""3/4 teaspoon ground coriander"", ""1/8 teaspoon cayenne pepper (optional)"", ""1 teaspoon salt, or to taste"", ""ground black pepper, or to taste"", ""1 (15.5 ounce) can diced tomatoes"", ""1 (4.5 ounce) can chopped green chiles"", ""1 (15.5 ounce) can chickpeas, drained and rinsed"", ""3 cups water"", ""1 1/2 cups uncooked quinoa"", ""2 tablespoons plain Greek yogurt"", ""1 tablespoon hummus spread"", ""1 tablespoon water"", ""1/4 teaspoon white vinegar"", ""2 green onions, sliced (optional)"", ""1/4 cup chopped fresh cilantro, or to taste""]","[""Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with aluminum foil."", ""Spread cherry tomatoes on the prepared baking sheet. Drizzle with 1 tablespoon olive oil. Sprinkle salt and pepper over tomatoes and toss to coat evenly."", ""Roast in the preheated oven until tomatoes blister and pop and skins start to char, 15 to 20 minutes."", ""Meanwhile, heat remaining olive oil in a large Dutch oven over medium-high heat. Add onion and cook until translucent, 4 to 5 minutes. Add garlic, paprika, cumin, coriander, cayenne pepper, salt, and pepper. Cook until fragrant, 30 to 60 seconds. Add tomatoes and green chiles; bring to a boil. Reduce stew to a simmer and add chickpeas. Add the cherry tomatoes and their juices. Cover and simmer for 30 minutes."", ""While stew simmers, bring 3 cups water and quinoa to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until quinoa is tender, 15 to 20 minutes."", ""Mix Greek yogurt, hummus, 1 tablespoon water, and vinegar together to make the sauce. Season with salt and pepper."", ""Serve the stew over quinoa. Top with the yogurt sauce, green onions, and cilantro.""]"
