title,description,ingredients,directions,total_time,instructions_list
Instant Pot® Moroccan Chicken Tagine,"Your Instant Pot® replaces the traditional clay or ceramic cone-shaped cooking pot used in Moroccan cuisine (the tagine). The word 'tagine' also refers to the slow-cooked, stew-like dish that is prepared in it. This chicken tagine features the authentic flavors of preserved lemons and olives, with a delicious combination of spices typically used in Moroccan cooking.","2 tablespoons minced fresh garlic ; 1 ¼ teaspoons paprika ; ¾ teaspoon ground ginger ; ¾ teaspoon ground turmeric ; ⅛ teaspoon saffron powder ; 1 ½ pounds skinless, boneless chicken breasts, cut into bite-sized pieces ; 1  preserved lemon ; 2 tablespoons extra-virgin olive oil ; 2 tablespoons butter ; 2 medium red onions, sliced ; 1  cinnamon stick ; 1 cup pitted and halved Mediterranean olives ; 1 cup chicken broth ; 1 tablespoon chopped fresh flat-leaf parsley ; 1 tablespoon chopped fresh cilantro","Combine garlic, paprika, ginger, turmeric, and saffron in a large bowl. Add chicken pieces and mix until coated with spices. Cover and refrigerate, 3 to 4 hours or overnight. Cut preserved lemon into quarters. Remove pulp from the peel and remove seeds from pulp. Mince pulp and set aside. Cut lemon peel into strips and set aside. Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Heat olive oil and butter in the cooker; add chicken. Cook chicken until browned, about 3 minutes per side. Transfer chicken to a plate, reserving drippings in the pot. Place onions and lemon pulp into the hot pot and cook, stirring occasionally, until onions have softened, about 5 minutes. Add cinnamon stick, place chicken on top, and scatter olives and lemon peel over the chicken. Pour in chicken broth. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 10 minutes. Allow 10 to 15 minutes for pressure to build. Release pressure using the natural-release method according to manufacturer's instructions, about 10 minutes. Unlock and remove the lid carefully, turning it away from you. Transfer contents to a large serving bowl. Sprinkle with parsley and cilantro and serve immediately.",4 hrs 10 mins,"['Combine garlic, paprika, ginger, turmeric, and saffron in a large bowl. Add chicken pieces and mix until coated with spices. Cover and refrigerate, 3 to 4 hours or overnight.', 'Cut preserved lemon into quarters. Remove pulp from the peel and remove seeds from pulp. Mince pulp and set aside. Cut lemon peel into strips and set aside.', 'Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Heat olive oil and butter in the cooker; add chicken. Cook chicken until browned, about 3 minutes per side. Transfer chicken to a plate, reserving drippings in the pot.', ""Place onions and lemon pulp into the hot pot and cook, stirring occasionally, until onions have softened, about 5 minutes. Add cinnamon stick, place chicken on top, and scatter olives and lemon peel over the chicken. Pour in chicken broth. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 10 minutes. Allow 10 to 15 minutes for pressure to build."", ""Release pressure using the natural-release method according to manufacturer's instructions, about 10 minutes. Unlock and remove the lid carefully, turning it away from you. Transfer contents to a large serving bowl. Sprinkle with parsley and cilantro and serve immediately.""]"
Moroccan Couscous,This dish is great served with my Lamb Tagine and Cucumber Raita also on this site.,"1 ¼ teaspoons ground cumin ; ½ teaspoon ground ginger ; ¼ teaspoon ground cloves ; ⅛ teaspoon ground cayenne pepper ; ½ teaspoon ground cardamom ; ¼ teaspoon ground coriander ; ¼ teaspoon ground allspice ; 1 tablespoon olive oil ; 1  red onion, cut in half and thinly sliced ; 1  red, green, or yellow bell pepper, cut into 1"" pieces ; 2  zucchinis, halved lengthwise and cut into 3/4 inch pieces ; ½ cup golden raisins ; 1 teaspoon kosher salt ;   grated zest of one orange ; 1 (14.5 ounce) can low sodium garbanzo beans, rinsed and drained ; 1 ½ cups chicken broth ; ½ cup orange juice ; 1 ½ cups couscous  ; 3 tablespoons chopped fresh mint","Place a large, heavy bottomed pot over medium heat.  Stir in the cumin, ginger, cloves, cayenne, cardamom, coriander, and allspice; gently toast until fragrant, about 2 to 3 minutes.  Stir in oil and onion, cook until softened.  Stir in the bell pepper, and zucchini; cook for 5 minutes.  Stir in the raisins, salt, zest, and garbanzos. Pour in the chicken broth and orange juice; turn heat to high and bring to a boil.  When the mixture is boiling, stir in the couscous and remove from heat; cover, and let stand 5 minutes.  Fluff with a fork, and fold in chopped mint.",55 mins,"['Place a large, heavy bottomed pot over medium heat. Stir in the cumin, ginger, cloves, cayenne, cardamom, coriander, and allspice; gently toast until fragrant, about 2 to 3 minutes. Stir in oil and onion, cook until softened. Stir in the bell pepper, and zucchini; cook for 5 minutes. Stir in the raisins, salt, zest, and garbanzos.', 'Pour in the chicken broth and orange juice; turn heat to high and bring to a boil. When the mixture is boiling, stir in the couscous and remove from heat; cover, and let stand 5 minutes. Fluff with a fork, and fold in chopped mint.']"
Moroccan Chicken Thighs,"Quick and easy thighs with complex Moroccan flavors. Serve with rice, garnished with lemon wedges.","8  bone-in chicken thighs ;   kosher salt and ground black pepper to taste ; 1 ½ cups chicken broth ; 3 tablespoons paprika ; 3 tablespoons ground cumin ; 3 teaspoons minced fresh ginger root ; 3 teaspoons ground turmeric ; 2 teaspoons ground cinnamon ; 1  lemon, zested and juiced ;   olive oil, or to taste ; 1 tablespoon canola oil, or to taste ; ½  white onion, chopped ; 1 cup pimento-stuffed green olives ; 2 tablespoons chopped fresh parsley","Season chicken thighs with salt and pepper. Let come to room temperature, about 30 minutes. Preheat the oven to 375 degrees F (190 degrees C). Combine chicken broth, paprika, cumin, ginger, turmeric, cinnamon, and 2 teaspoons lemon zest in a bowl. Heat oils in a cast iron skillet until they begin to smoke. Add chicken thighs, skin-side down, and cook for 4 minutes. Flip thighs and continue cooking until skin is crispy, about 4 minutes more. Transfer to a plate. Saute onion in the skillet until softened, 3 to 5 minutes. Pour chicken broth mixture carefully over onion; scrape up any browned bits off the bottom of the skillet. Return chicken thighs to the skillet. Spoon some of the liquid over the thighs. Transfer skillet to the preheated oven; bake until chicken thighs are no longer pink in the center, 25 to 30 minutes. Add olives to the skillet. Drizzle lemon juice over the thighs and garnish the whole dish with parsley.",1 hr 20 mins,"['Season chicken thighs with salt and pepper. Let come to room temperature, about 30 minutes.', 'Preheat the oven to 375 degrees F (190 degrees C).', 'Combine chicken broth, paprika, cumin, ginger, turmeric, cinnamon, and 2 teaspoons lemon zest in a bowl.', 'Heat oils in a cast iron skillet until they begin to smoke. Add chicken thighs, skin-side down, and cook for 4 minutes. Flip thighs and continue cooking until skin is crispy, about 4 minutes more. Transfer to a plate. Saute onion in the skillet until softened, 3 to 5 minutes. Pour chicken broth mixture carefully over onion; scrape up any browned bits off the bottom of the skillet.', 'Return chicken thighs to the skillet. Spoon some of the liquid over the thighs.', 'Transfer skillet to the preheated oven; bake until chicken thighs are no longer pink in the center, 25 to 30 minutes.', 'Add olives to the skillet. Drizzle lemon juice over the thighs and garnish the whole dish with parsley.']"
Moroccan Shabbat Fish,"Every Shabbat my mother-in-law makes this fish. I've modified it since the fish she uses in Israel isn't available in the Midwest. When you smell this fish cooking, you know it's Shabbat! Serve this with lots of Challah to soak up the yummy juice!","1  red bell pepper, cut into thin strips ; 3  tomatoes, sliced ; 6 (6 ounce) tilapia fillets ; 2 tablespoons paprika ; 1 tablespoon chicken bouillon granules ; 1 teaspoon cayenne pepper ;   salt and pepper to taste ; ¼ cup olive oil ; 1 cup water ; ¼ cup chopped fresh parsley","Preheat an oven to 200 degrees F (95 degrees C). Layer the sliced red peppers and sliced tomatoes in the bottom of a baking dish. Arrange the tilapia fillets on top of the vegetables. Combine the paprika, chicken bouillon, cayenne, salt, pepper, olive oil, and water and mix well. Pour the seasoning mixture over the fish. Sprinkle with parsley. Cover the baking dish with aluminum foil and bake in the preheated oven until the fish flakes easily with a fork and the vegetables are tender, about 1 hour.",1 hr 20 mins,"['Preheat an oven to 200 degrees F (95 degrees C).', 'Layer the sliced red peppers and sliced tomatoes in the bottom of a baking dish. Arrange the tilapia fillets on top of the vegetables.', 'Combine the paprika, chicken bouillon, cayenne, salt, pepper, olive oil, and water and mix well. Pour the seasoning mixture over the fish. Sprinkle with parsley.', 'Cover the baking dish with aluminum foil and bake in the preheated oven until the fish flakes easily with a fork and the vegetables are tender, about 1 hour.']"
Moroccan Fish Tagine,"This delicious healthy dish common to North Africa, particularly Morocco, is one of my favorites when entertaining guests. The wonderful spices blended with fresh vegetables and fish is a crowd pleaser. The fish is marinated in a chermoula sauce to soak up all the wonderful spices prior to cooking. This dish is prepared in a traditional method in a ceramic tagine, but can be prepared in a heavy lidded pot. This dish as it cooks emits some of the most wonderful smells throughout the house. Serve with couscous or rice and crusty bread to mop up all the wonderful sauce!","½ cup olive oil ; ½ cup chopped fresh cilantro ; ½ cup chopped fresh parsley ; ½  lemon, juiced ; 6 cloves garlic, minced ; 1 teaspoon ground paprika ; ½ teaspoon ground ginger ; ½ teaspoon ground cumin ; ½ teaspoon salt ; ¼ teaspoon ground saffron  (Optional); 1 ½ pounds cod fillets, cut into bite-sized pieces ; 1 tablespoon olive oil ; 1 large onion, cut into rings ; 1 large carrot, peeled and cut into matchsticks ; 2  potatoes, peeled and sliced 1/4-inch thick ; 1 large green bell pepper, sliced into rings ; 3  tomatoes, seeded and cut into strips ; ¼ cup chopped fresh cilantro","Mix 1/2 cup olive oil, 1/2 cup cilantro, parsley, lemon juice, garlic, paprika, ginger, cumin, salt, and saffron in a large glass or ceramic bowl. Add cod and mix well. Cover and marinate in the refrigerator for 2 hours. Heat 1 tablespoon olive oil in a large pot or tagine. Layer onion rings, carrot matchsticks, and potato slices in the pot in that order. Remove cod from marinade and spread evenly over potatoes. Cover cod with green bell pepper rings and tomato strips. Sprinkle 1/4 cup cilantro on top. Pour marinade over cilantro. Cover pot tightly and cook over low heat until potatoes are tender and cod flakes easily with a fork, about 1 hour.",3 hrs 50 mins,"['Mix 1/2 cup olive oil, 1/2 cup cilantro, parsley, lemon juice, garlic, paprika, ginger, cumin, salt, and saffron in a large glass or ceramic bowl. Add cod and mix well. Cover and marinate in the refrigerator for 2 hours.', 'Heat 1 tablespoon olive oil in a large pot or tagine. Layer onion rings, carrot matchsticks, and potato slices in the pot in that order. Remove cod from marinade and spread evenly over potatoes. Cover cod with green bell pepper rings and tomato strips. Sprinkle 1/4 cup cilantro on top. Pour marinade over cilantro.', 'Cover pot tightly and cook over low heat until potatoes are tender and cod flakes easily with a fork, about 1 hour.']"
Mama Marie's Moroccan Tuna Brik,"A triangle shaped fried appetizer famous throughout the Middle East. This is my mothers recipe for her tuna filled ones. If you can find Italian tuna packed in olive oil, this is most preferable.","1 tablespoon butter ; 1 small onion, finely chopped ; 2 (5 ounce) cans tuna packed in oil, drained ; 2 tablespoons chopped fresh parsley ; 1 teaspoon capers, or to taste ; 2 tablespoons grated Parmesan cheese ;   salt and pepper to taste ; 10 sheets phyllo dough ; 1 quart vegetable oil for frying ; 1  lemon, cut into wedges","Melt the butter in a skillet over medium heat. Stir in the onion, and cook until the onion has softened and turned translucent, about 5 minutes. Transfer the onion to a mixing bowl, and stir in the tuna, parsley, capers, and Parmesan cheese; season to taste with salt and pepper. Cut the phyllo sheets in half lengthwise, ending up with long, narrow sheets. Lay out one strip of phyllo at a time on your work surface with one of the narrow ends close to you. Place a heaping tablespoon of filling 1 inch from the end closest to you. Fold the bottom right corner over the filling to the left edge to form a triangle. Fold the triangle up, bringing the point at the bottom left up to rest along the left edge. Turn the lower left corner over to touch the right edge. Continue turning the triangle over in this manner until you reach the end of the phyllo. Lightly brush the last inch of phyllo with water to seal. Repeat with the remaining filling and phyllo dough. Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Fry the brik in the preheated oil in batches until golden brown and crispy, about 3 minutes. Drain the brik on a paper towel-lined plate. Serve with lemon wedges.",40 mins,
One-Pot Moroccan Shrimp Tagine,"The rich, exotic flavors of Morocco shine through in this delicious, one-pot shrimp tagine dish!  Serve over prepared couscous.","3 tablespoons olive oil ; 4 large carrots, chopped ; 1 large sweet onion, diced ; 1 large russet potato, peeled and diced ; 1  red bell pepper, thinly sliced ; ½ cup pitted Kalamata olives, sliced ; 2 tablespoons minced garlic ; 2 teaspoons ginger paste ; 2 large tomatoes, coarsely chopped ; ½ cup chopped fresh cilantro ; 1 tablespoon dried parsley ; 2 teaspoons ground cumin ; 2 teaspoons seasoned salt ; 1 (1.41 ounce) package sazon seasoning with saffron (such as Goya® Azafran) ; 1 teaspoon paprika ; 1 teaspoon ground turmeric ; 1 teaspoon lemon juice ; ½ teaspoon cayenne pepper ; ½ teaspoon ground black pepper ; 1  bay leaf ; 1 pound uncooked medium shrimp, peeled and deveined","Heat a Dutch oven over medium-high heat. Add olive oil. Saute carrots, onion, potato, and bell pepper until soft, about 5 minutes. Add olives, garlic, and ginger paste and saute for 2 minutes. Stir in tomatoes, cilantro, parsley, cumin, seasoned salt, sazon, paprika, turmeric, lemon juice, cayenne, black pepper, and bay leaf. Cover and cook until tomatoes have broken down and flavors have combined, about 20 minutes. Add shrimp, cover, and cook until they are bright pink, about 5 minutes.",55 mins,"['Heat a Dutch oven over medium-high heat. Add olive oil. Saute carrots, onion, potato, and bell pepper until soft, about 5 minutes. Add olives, garlic, and ginger paste and saute for 2 minutes.', 'Stir in tomatoes, cilantro, parsley, cumin, seasoned salt, sazon, paprika, turmeric, lemon juice, cayenne, black pepper, and bay leaf. Cover and cook until tomatoes have broken down and flavors have combined, about 20 minutes. Add shrimp, cover, and cook until they are bright pink, about 5 minutes.']"
Jacy's Middle-Eastern Fava Bean Stew,"This is called 'Middle-Eastern' fava bean stew and not 'Moroccan' because I have also borrowed flavors from my Lebanese roots. This stew came to me on a Saturday afternoon when we were desperately low on groceries and had no meat in the freezer. The first time my carnivorous partner tried it, he honestly thought it contained meat. I have made this many times, and he devours it with relish! To make this dish completely vegetarian/vegan, omit the anchovies. Serve with steamed basmati rice, couscous or bulgur.","1 teaspoon coriander seeds ; 1 teaspoon caraway seeds ; ½ teaspoon cumin seeds ; 2 cloves garlic ; 1 pinch coarse sea salt ; 2 tablespoons sweet paprika ; 2 tablespoons dried red pepper flakes ; 2 tablespoons extra-virgin olive oil, or as needed ; 2 tablespoons olive oil ; 1 medium onion, minced ; 2 cloves garlic, minced ; 4  anchovy fillets, chopped  (Optional); 2 cups diced peeled butternut squash  ; 2  carrots, chopped ; ½  red bell pepper, diced ; 1 cup frozen peas ; 1 pinch salt ; 2 cups vegetable broth ; 2 (14.5 ounce) cans fava beans, drained ; 1 (14 ounce) can canned tomatoes, diced ; 2 tablespoons tomato paste ; 1  bay leaf ; 1 teaspoon brown sugar ; 3 tablespoons pomegranate molasses ; 1 cup chopped fresh flat-leaf parsley ; ¼ cup chopped fresh mint  (Optional)","To make harissa paste: Heat a dry skillet over high heat and add coriander, caraway and cumin seeds. Shake pan gently until spices become fragrant, about 2 minutes. Remove pan from heat and pour seeds into mortar and grind with pestle to a fine powder. Add garlic, salt, paprika and dried red pepper flakes, mashing and stirring until garlic is incorporated with the spices. Mixture will be dry and crumbly. Add enough of the 2 tablespoons extra-virgin olive oil until you have a thick paste. Use fewer pepper flakes if you prefer less heat. Set aside. Pour 2 tablespoons olive oil into a large pot and add minced onions and garlic. Cook slowly over low heat until onions are translucent, about 10 minutes. Push onions aside in the pot, and stir in the anchovies.  Cook anchovies until they soften, mashing them with the back of a wooden spoon until they dissolve. Stir together with the onion and garlic mixture. Add the butternut squash, carrots, bell pepper, frozen peas and a pinch of salt. Stir and cook over medium heat for about 5 minutes. Pour in the stock. Bring to a simmer and cook for about a minute. Stir in the drained fava beans, diced tomatoes, tomato paste, bay leaf and harissa paste (from step 1). Add brown sugar and pomegranate molasses. Bring back to a simmer, then reduce heat to low and cook uncovered for about 1 1/2 hours. The long, slow cooking time allows the flavors to deepen. Just before serving, stir in the chopped parsley. Top with the mint, if you like.",2 hrs 5 mins,"['To make harissa paste: Heat a dry skillet over high heat and add coriander, caraway and cumin seeds. Shake pan gently until spices become fragrant, about 2 minutes. Remove pan from heat and pour seeds into mortar and grind with pestle to a fine powder. Add garlic, salt, paprika and dried red pepper flakes, mashing and stirring until garlic is incorporated with the spices. Mixture will be dry and crumbly. Add enough of the 2 tablespoons extra-virgin olive oil until you have a thick paste. Use fewer pepper flakes if you prefer less heat. Set aside.', 'Pour 2 tablespoons olive oil into a large pot and add minced onions and garlic. Cook slowly over low heat until onions are translucent, about 10 minutes. Push onions aside in the pot, and stir in the anchovies. Cook anchovies until they soften, mashing them with the back of a wooden spoon until they dissolve. Stir together with the onion and garlic mixture.', 'Add the butternut squash, carrots, bell pepper, frozen peas and a pinch of salt. Stir and cook over medium heat for about 5 minutes. Pour in the stock. Bring to a simmer and cook for about a minute.', 'Stir in the drained fava beans, diced tomatoes, tomato paste, bay leaf and harissa paste (from step 1). Add brown sugar and pomegranate molasses. Bring back to a simmer, then reduce heat to low and cook uncovered for about 1 1/2 hours. The long, slow cooking time allows the flavors to deepen.', 'Just before serving, stir in the chopped parsley. Top with the mint, if you like.']"
Moroccan Sardine Meatballs,"High in omega-3s, these are a healthier alternative to regular meatballs!","1 (4 ounce) can sardines, drained ; 2  eggs ; 2 tablespoons dry bread crumbs ; ½ teaspoon ground paprika ; ½ teaspoon ground turmeric ; ½ teaspoon ground ginger ; ½ teaspoon garlic powder ; ½ teaspoon onion powder ;   salt and ground black pepper to taste ; 2 tablespoons olive oil ; ¼  onion, chopped ; 2 cloves garlic, chopped ; 1 (14.5 ounce) can canned diced tomatoes ; 2 tablespoons ground coriander ; ½ teaspoon ground cumin","Place sardines in a food processor; puree until smooth. Add eggs, bread crumbs, paprika, turmeric, ginger, garlic powder, onion powder, salt, and black pepper. Pulse briefly until well-combined. Shape mixture into small balls. Heat oil in a large skillet over medium heat. Add onion and garlic; cook and stir until fragrant, about 5 minutes. Stir in tomatoes, coriander, and cumin. Reduce heat, cover, and simmer sauce until flavors combine, about 15 minutes. Stir in meatballs and simmer until heated through, about 5 minutes.",35 mins,
Moroccan Spiced Sea Bass Ceviche,"Fresh, vibrant flavors which comes together to make a great dish. If you cannot get fresh sea bass, substitute with halibut or snapper.","2 teaspoons harissa ; ½ cup unsweetened coconut milk ; ½ cup fresh lemon juice ; ¼ cup fresh lime juice ; ¼ cup fresh orange juice ; 2 pounds Atlantic sea bass, diced ; ¼ cup red onion, finely chopped ; 1 teaspoon minced fresh ginger root ; 2 tablespoons extra-virgin olive oil ; 2 tablespoons chopped Moroccan preserved lemon ; 1 tablespoon caraway seed, lightly toasted and then crushed ; ½ teaspoon ground cumin ; 2 tablespoons chopped fresh chervil ;   kosher salt to taste","In a large glass or ceramic bowl, whisk together the Harissa, coconut milk, lemon juice, lime juice and orange juice. Add the sea bass, onion, ginger, olive oil, preserved lemon, caraway seed, cumin and chervil. Stir to blend, then press everything down so there is a layer of liquid covering the top. Cover and refrigerate for at least 3 hours, or until the fish is opaque and white. Season with salt and add more harissa if desired before serving.",3 hrs 20 mins,
Spiced Couscous with Shrimp and Chermoula,"Take the hassle out of making Spiced Couscous and Shrimp at home with the pure flavor of McCormick® herbs and spices. A blend of turmeric, cinnamon and cumin lends warmth to a traditional homemade Chermoula--a Moroccan herb sauce typically served with seafood. Layer sauce, couscous and shrimp in a bowl for a Moroccan-inspired meal worth gathering around the table for.","2 ¼ teaspoons McCormick® Cumin, Ground ; ¾ teaspoon McCormick® Cinnamon, Ground ; ¾ teaspoon McCormick® Turmeric, Ground ; ½ teaspoon salt ; 1 bunch fresh cilantro, chopped ; 1 clove garlic ; 2 tablespoons lemon juice ; ⅓ cup olive oil ; 1 cup water ; ¾ cup couscous  ; 2 tablespoons lemon juice ; 1 tablespoon olive oil ; 1 tablespoon honey ; ½ pound shrimp, peeled and deveined ; 1 tablespoon olive oil","For the Spice Blend, mix all ingredients in small bowl. Set aside. For the Chermoula, place cilantro, garlic and lemon juice in blender container; cover. Blend until almost smooth.  Gradually add oil with machine running. Blend until smooth. Mix in 1 1/4 teaspoons of the Spice Blend.  Keep refrigerated until ready to serve. For the Couscous, bring water to boil in small saucepan. Stir in remaining ingredients and another 1 1/4 teaspoons of the Spice Blend. Cover. Remove from heat. Let stand 5 minutes. Fluff with fork. For the Shrimp, toss shrimp with remaining Spice Blend in medium bowl until evenly coated. Heat oil in medium skillet on high heat. Add shrimp; cook 1 minute per side or just until shrimp turn pink. To serve, spoon Chermoula into serving bowl. Top with couscous and shrimp. Garnish with cilantro, if desired.",25 mins,
Roasted Moroccan-Inspired Tilapia,"Tilapia roasted with chickpeas, tomato, & cilantro, topped with creamy yogurt sauce.","1 ½ cups water ; 1 cup long grain white rice ; ¼ cup extra-virgin olive oil ; 4 cloves garlic, pressed ; 1 tablespoon ground paprika ; 1 teaspoon ground cumin ; ½ teaspoon cayenne pepper ; ½ cup plain yogurt ;   salt and ground black pepper to taste ; 4 (5 ounce) fillets tilapia ; 1 (15 ounce) can chickpeas, rinsed and drained ; 2 medium Roma tomatoes, coarsely chopped ; 1 cup chopped fresh cilantro, divided","Preheat the oven to 400 degrees F (200 degrees C). Line a large, rimmed baking sheet with parchment paper. Bring water and rice to a boil in a medium saucepan. Cover and reduce heat to low. Simmer until tender, about 20 minutes. While the rice is cooking, mix olive oil, garlic, paprika, cumin, and cayenne pepper in a medium bowl. Pour 1 tablespoon spiced oil into a small bowl; whisk in yogurt and season with salt and pepper. Set yogurt sauce aside. Place tilapia fillets on the prepared baking sheet and rub with 2 tablespoons spiced oil. Add chickpeas, tomatoes, and 1/2 cup cilantro to the remaining spiced oil mixture; toss to coat. Pour onto the baking sheet around the tilapia. Season everything generously with salt and pepper. Roast in the preheated oven until tilapia is cooked through and flakes easily with a fork, 10 to 15 minutes, depending on size. Fluff cooked rice with a fork and divide onto 4 plates. Place tilapia on rice and spoon chickpea mixture over top. Top with yogurt sauce and remaining cilantro.",45 mins,
Spicy Fish Kebobs,"A Moroccan-inspired recipe to use pieces of firm, fatty fish.","¼ cup olive oil ; 1  lemon, juiced ; 6 cloves garlic ; 2 tablespoons harissa (red pepper paste) ; 1 teaspoon ground cumin ; ½ teaspoon freshly ground black pepper ;   salt to taste ; 1 ⅓ pounds 1-inch-thick tuna, skin removed and flesh cut into 30 cubes ; 1  red bell pepper - seeds and ribs removed and pepper cut into 15 squares ; 1  yellow bell pepper - seeds and ribs removed and pepper cut into 15 squares ; 1 large red onion, cut into wedges and layers separated ; 6  skewers","Blend olive oil, lemon juice, garlic, harissa, cumin, black pepper, and salt together in a blender or food processor until marinade is smooth. Place tuna in a bowl and pour marinade over tuna; toss to coat. Marinate in the refrigerator for at least 1 hour. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Thread 1 piece tuna, 1 piece red bell pepper, 1 piece yellow bell pepper, and 1 piece onion onto 1 skewer; repeat 4 times. Repeat with remaining ingredients using the remaining 5 skewers. Cook skewers on grill until fish flakes easily with a fork, about 10 minutes.",1 hr 30 mins,
Cold Roasted Moroccan Spiced Salmon,"This easy dry rub blasts the fish with unique Middle Eastern flair and is perfect paired with other cold sides and salads. Roast it in the morning to enjoy cold with your guests that evening. Any variety of salmon, or even trout, works; cooking time remains the same as long as the cut is about one-inch thick. It may seem like a lot of seasonings to use on one cut of meat, but cold meat can lose flavor, so the idea is to blast it with flavors from the beginning. If cold fish isn't your thing, refrigerate it and bring it to room temperature to serve.","¾ teaspoon ground cinnamon ; ¾ teaspoon ground cumin ; ½ teaspoon salt ; ½ teaspoon ground ginger ; ¼ teaspoon mustard powder ; ¼ teaspoon ground nutmeg ; ⅛ teaspoon cayenne pepper ; ⅛ teaspoon ground allspice ; 2 teaspoons white sugar ; 2 pounds (1-inch thick) boneless, skin-on center-cut salmon fillets ; 1 tablespoon fresh lime juice","In a small bowl, combine the cinnamon, cumin, salt, ginger, mustard, nutmeg, cayenne, allspice, and sugar; set aside. Line a baking sheet with foil, then spray with nonstick cooking spray.  Rinse the salmon with cold water and pat dry.  Lightly sprinkle the skin with the spice mix, then place the salmon skin-side down on the prepared baking sheet.  Sprinkle the remaining spice mix evenly over the salmon.  Allow the salmon to come to room temperature, 30 to 40 minutes. Preheat oven to 425 degrees F (220 degrees C). Sprinkle the salmon with lime juice and roast in the oven for 12 minutes.  Remove from oven and allow to stand at room temperature for 15 minutes.  The salmon will still be rare when removed from the oven, but will continue to cook as it rests. After 15 minutes, wrap the fish tightly with foil and refrigerate for at least 2 hours before serving.",1 hr 12 mins,"['In a small bowl, combine the cinnamon, cumin, salt, ginger, mustard, nutmeg, cayenne, allspice, and sugar; set aside.', 'Line a baking sheet with foil, then spray with nonstick cooking spray. Rinse the salmon with cold water and pat dry. Lightly sprinkle the skin with the spice mix, then place the salmon skin-side down on the prepared baking sheet. Sprinkle the remaining spice mix evenly over the salmon. Allow the salmon to come to room temperature, 30 to 40 minutes.', 'Preheat oven to 425 degrees F (220 degrees C).', 'Sprinkle the salmon with lime juice and roast in the oven for 12 minutes. Remove from oven and allow to stand at room temperature for 15 minutes. The salmon will still be rare when removed from the oven, but will continue to cook as it rests. After 15 minutes, wrap the fish tightly with foil and refrigerate for at least 2 hours before serving.']"
