name,ingredients,instructions,total_time
Chebakia and white chocolate cookies,"4 tablespoons toasted sesame seeds  - 430gr plain flour - 1 ½ teaspoons baking powder - 1 ½ teaspoons baking soda - ½ teaspoon salt - ½ teaspoon ground cinnamon - ½ teaspoon ground aniseed - ½ teaspoon ground turmeric - 250ml unsalted butter, melted and cooled slightly  - 200gr brown sugar - 90gr granulated sugar - 2 large eggs  - 1 teaspoon vanilla extract - 200gr white chocolate pieces (chunks or chips) - 4 tablespoons clear honey - 2 tablespoons orange blossom water ","Use a pestle and a mortar or coffee grinder (or a small food processor) to finely ground the sesame seeds. Take care not to overgrind them, otherwise they could turn into sesame seed butter.  ",150
"Artichoke Tagine with Peas, Baby Potatoes and Preserved Lemon (vegan)","2 tablespoons olive oil - 2 large onions chopped or sliced (400 gr) - 2 teaspoons finely chopped garlic (about 2 to 3 cloves) - ½ teaspoon ground turmeric - ½ teaspoon ground dried ginger - ¾ teaspoon salt or more to taste - ¼ teaspoon ground black pepper - 1 ½ to 2 cups vegetable stock (300 ml to 450 ml) - 400 gr baby potatoes - 1 medium size preserved lemon - 10 medium size artichoke bottoms (600 gr) - 200 gr green peas - 150 gr red-brown olives, like kalamatas - Chopped coriander for garnish","• In a large casserole, heat the olive oil and add the onions over medium heat. Cover with a lid and leave the onions until they are soft and translucent, about 10 min. This will allow to sweat the onions.",43
Brown butter and orange blossom apple galette with crumble top,"60g unsalted butter  - 550g apples (about 4 medium ones), cored and sliced  - 50g g caster sugar - Juice of half a lemon (about 2 tablespoons) - 2 tablespoons plain flour  - 1 teaspoon orange blossom water - 1 teaspoon vanilla extract - ¼ heaped teaspoon salt  - 280g premade or store bought shortcrust pastry sheet    - Vanilla ice cream to serve, if desired ", For the crumble,98
"Artichoke, green peas and preserved lemon salad","3 tablespoons olive oil - 2 garlic cloves, peeled and crushed - 2 small preserved lemons, flesh and rind finely chopped - ½ teaspoon ground turmeric - ½ teaspoon ground ginger - 200g frozen green peas - 2 tablespoons finely chopped coriander - ¼ teaspoon salt, or more to taste - Generous pinch ground black pepper - 200g drained precooked artichokes, roughly chopped - 60g drained red-brown olives, such as Kalamata, pitted and roughly chopped","• Heat the olive oil in a large saucepan over a medium heat. Mix in the garlic, preserved lemon, ground turmeric and ground ginger and fry for a minute until the oil is fragrant.",68
Moroccan Mint Tea Infused Chocolate Truffles,"250 ml double cream - 20 gr butter - 3 teaspoons loose gunpowder green tea leaves - A handful of fresh mint leaves - 200 gr dark chocolate (70%), chopped - 3 tablespoons honey - ½ teaspoon vanilla extract - 1 cup cocoa powder to coat the truffles",• In a deep skillet transfer the cream and the butter and bring to a boil. Remove from the heat and add the green tea and mint leaves. Leave to steep for 30 min.,104
"Bakoula, feta and pine nuts hand pies ","2 tablespoons olive oil - 400g Swiss chard, stalks removed, leaves cut into strips 3cm wide - 2 tablespoons finely chopped flat leaf parsley - 1 tablespoons finely chopped fresh coriander - 1 tablespoons lemon juice - 2 garlic cloves, peeled and crushed - 1 teaspoons paprika - ½ teaspoon ground cumin - ¼ teaspoon salt, or more to taste - 60g feta, crumbled - 2 tablespoons pine nuts - 320g ready-rolled shortcrust pastry sheets - 1 egg, beaten to brush the pastry ",•   Preheat the oven to 220°C (200°C fan). ,118
Orange and Cardamom Ghriba,"200 gr plain flour - 80 gr caster sugar - 40 gr sesame seeds toasted and ground - Zest of 2 oranges - ½ teaspoon freshly ground cardamom - ½ teaspoon baking powder - ¼ teaspoon salt - 70 gr unsalted butter, softened - 70 ml flavourless oil such as sunflower or canola oil - ½ teaspoon vanilla extract",• Preheat oven to 170 C ( 335F). ,46
"Rhubarb, ginger and rose crumble ","500 gr rhubarb - 10 gr unsalted butter for greasing - 45 gr ginger stem, finely chopped - 3 tablespoons syrup for the ginger stem jar - 5 tablespoons light brown sugar - 2 teaspoons rose water - 200 gr plain flour - pinch salt - ½ teaspoon ground ginger - 130 gr unsalted cold butter  - 70 gr caster sugar - Labneh, greek yoghurt, custard or ice cream to serve, if desired - Rose petals for garnish, if desired",• Preheat oven to 200 C / 400 F. Grease an oven proof dish with the butter and set aside (I used a 20 cm/8 inch round tin).,141
"Ras El Hanout Sweet Potato + Feta, Mint and Preserved Lemon Msemen Wrap","150 gr plain flour and more for kneading - 150 gr semolina flour and more for flouring  - ½ teaspoon salt - 120 to 170 ml lukewarm water - 4 tablespoons vegetable oil, divided and more for drizzling  - 20 gr melted butter","• In a large bowl mix all the flours, salt, 120 ml water and 2 tablespoons vegetable oil to form a dough. If the mixture is too dry and you can’t form a dough, add a couple tablespoons of water bit by bit. Make sure you don’t add too much water to the dough because it will make your dough very sticky and you won't be able to knead it. If that happens, add a bit of flour. When your dough is nicely done, lightly flour a worktop and knead for 15 minutes until light and soft.",137
Moroccan Medley Salad Bowl ,"2 Avocados, chopped - 200 gr cherry tomatoes, halved - 1 batch of bakoula  - 1 batch of taktouka - 1 batch of carrot salad - 1 batch of preserved lemon and apricot couscous salad (recipe below) - A handful toasted flaked almonds, to serve  - Olive oil, to serve - 2 lemons, halved, to serve","• In a medium bowl, mix the avocado and the tomatoes to make a salad. Place a serving of each salad in 4 separate bowls; sprinkle each bowl with toasted flaked almonds. Serve immediately with olive oil and lemon halves on the side.",20
Fekkas Cereals (Mini Biscottis),"180 gr plain flour and more for flouring  - 100 gr caster sugar - 3 tablespoons toasted sesame seeds - 1 teaspoon aniseeds - ½ teaspoon baking powder - Pinch salt - 30 ml vegetable oil - 1 large egg - 1 tablespoon orange blossom water - Desired choice and amount of dried fruits and nuts such as cranberry, pistachios and hazelnuts - Milk to serve",• Preheat the oven to 180 C (356 F),98
"Shrimp, preserved lemon and saffron mac and cheese","50 gr unsalted butter - ¼ teaspoon paprika - 50 gr plain flour - 650 ml milk - 180 gr grated mature cheddar or Gruyere or mix of both + 4 tablespoons mature cheddar for topping - Salt and pepper to season - 2 tablespoons olive oil - 3 small preserved lemons, finely chopped - 3 garlic, peeled and crushed - 2 generous pinches of saffron - 300 gr shrimps, peeled and chopped - 350 gr macaroni - 3 tablespoons breadcrumbs, any type","• Start by making the white sauce. Melt the butter in a large deep skillet or saucepan over low heat, then add the flour and paprika. Stir vividly for 2 minutes using a wooden spoon until you obtain a smooth paste. For your information this paste is called a “roux”.",31
Zaalouk Focaccia ,"2 teaspoons dry yeast - 1 ½ teaspoon caster sugar - 300 gr plain flour and more for flouring - 7 tablespoons extra virgin olive oil, divided - 1 teaspoon salt - 160-200 ml warm water - One quantity of my zaalouk recipe - A handful chopped coriander and crumbled feta to serve",• Activate the dry yeast by adding ¼ teaspoon of sugar and a tablespoon of warm water in a small bowl. Stir with a fork and leave for 5 minutes to activate the dry yeast.,91
Saffron Chorba with Roasted Aubergine and Sweet Potatoes (Vegan),"2 large sweet potatoes (2 x 250g) peeled and cut into 2 cm chunks - 2 large aubergines (2 x 250g) cut into 2 cm chunks - 2 tablespoons olive oil - 2 onions, finely sliced - 2 medium sized tomatoes, grated - 2 tablespoons tomato paste - ½ teaspoon ground turmeric - 2 very generous pinches of saffron - 1 teaspoon salt or more to taste - ½ teaspoon ground black pepper - 500 ml vegetable stock - 1 x 400 can chickpeas, rinsed and drained - 100 gr spaghetti broken into 3 cm long pieces - Chopped parsley and more for serving","• Preheat the oven to 200 C. Place the aubergine and the sweet potato chunks in a large roasting tray, drizzle with a bit of olive oil and sprinkle with a bit of salt. Transfer in the oven and bake until tender and golden, about 25 to 30 minutes. Set aside until ready to use.",63
Merendina,200 gr 70% dark chocolate - 200 gr double cream - 50 gr icing sugar,"• Start with the ganache. In a medium sized saucepan, add in the double cream, chocolate and icing sugar over medium-low heat and leave stirring occasionally until the chocolate is melted and the mixture is well combined, about 5 minutes. Cover with cling film and place in the fridge until the ganache is spreadable, about 1 hour. After 1 hour remove it from the fridge otherwise, the ganache will become very hard and you won't be able to spread it.",65
"Lentil Stew with Lamb, Pumpkin and Shallots ","4 tablespoons olive oil - 300 gr boneless braising lamb, trimmed of excess fat and cut in 3 cm chunks (i.e. shoulder, neck fillet, etc.) - 2 medium sized tomatoes, grated - 1 ½ teaspoon ground paprika - 1 teaspoon ground cumin - 1 teaspoon salt or more to taste - Generous pinch ground cayenne pepper (optional) - 300 ml chicken or vegetable stock - 300 gr shallots, peeled - 250 gr dry green lentils - Chopped coriander to serve (optional) - Harissa, to serve optional - 400 gr pumpkin or butternut squash, peeled and cut into 2cm chunks","• In a large saucepan, warm the olive oil over medium heat and add the lamb. Cook the meat, stirring occasionally for 5 to 10 minutes to lightly brown the meat.",59
Chicken tagine with chickpeas and fresh figs ,"3 tablespoons olive oil, divided  - 3 large onions, sliced - 1 kg chicken thighs or legs - 4 garlic cloves, peeled and pressed - 1 teaspoon turmeric - 1 teaspoon ground ginger - ¾ teaspoon salt or to taste - ¼ ground black pepper - 150 ml vegetable stock - 1 x 400 gr can of chickpeas, rinsed and drained - 500 gr ripe figs (about 8), torn into 6 pieces and more for garnish if desired - Roughly chopped fresh coriander, for serving","• In a large saucepan add the olive oil over medium heat and add in the onions. Cover with a lid and leave until the onions are soft and translucent, 15 to 20 minutes. Stir occasionally. Add in the garlic, turmeric, ginger, salt and black pepper into the saucepan and cook for 5 minutes stirring occasionally. Place the chicken inside the saucepan and pour in the chicken stock. Reduce the heat to medium-low, cover with a lid and leave to simmer gently until the chicken is almost cooked, about 45 minutes.",110
"Baked stuffed apples with almonds, raisins and orange blossom",4 large cooking apples - 50 gr unsalted butter - 50 gr brown sugar - 3 tablespoons raisins - 1 teaspoon orange blossom water  - 50 gr ground almonds - 2 tablespoons honey - Vanilla ice cream to serve,• Preheat the oven to 180 C/ 350 F. Remove the core from the apples with a sharp knife or an apple corer and transfer them to a roasting tin.,63
Seafood and Quinoa Salad Bowls with Turmeric and Mint Dressing,"1 tablespoon olive oil - 150 gr prawn - 250 gr calamari - 400 gr mussels, cleaned  - 150 gr salad leaves - 200 gr cooked quinoa - 150 gr large cucumber, sliced - 100 gr radishes, sliced - Mint leaves to serve, if desired","• Clean the mussels, if any of them are opened, tap them lightly and discard them if they don't close. Fill a medium sized saucepan with 4 tablespoons of water and a pinch of salt and bring to a boil over high heat. Reduce the heat to medium and add in the mussels. Cover the pan with a lid and cook the mussels for about 3 to 4 minutes, stirring occasionally. The mussels are cooked once they are opened, discard any that didn't open. Drain the mussels and set aside until ready to serve.",41
Krachel French Toast ,120 ml whole milk - 3 large eggs - 4 tablespoons caster sugar - 1 teaspoon vanilla extract - ½ teaspoon ground cinnamon - ½ teaspoon ras el hanout - Pinch salt - 8 krachel - Maple syrup to serve - Sliced strawberries and peaches to serve,"• In a large shallow dish (such as a pie plate) beat together the milk, eggs, sugar, vanilla extract, cinnamon, ras el hanout and salt.",70
"Merguez, Red Pepper and Burrata Pizza ","3 x pizza dough, (about 220 gr each) - 500 gr tomato sauce (homemade or store-bought)  - 500 gr merguez mince (recipe below) - 2 Romano peppers, finely sliced - 1 fresh chilli pepper, finely sliced (optional) - 300 gr burrata - Rocket leaves to serve","• Preheat the oven to 220 C/ 430 F and prepare the merguez meat. Toast the fennel, cumin and coriander seeds in a pan over medium heat for 3 to 4 minutes until fragrant. Use a mortar and a pestle to roughly grind the seeds. Alternatively, use a food processor.",96
Almond butter and rose popsicles with strawberry jam ,200 gr crunchy almond butter - 250 gr Greek yogurt - 120ml almond milk - 100 gr clear honey - ½ teaspoon rose water - ¼ teaspoon almond extract,"• In a blender, transfer the almond butter, yogurt, almond milk, honey, rose water and almond extract. Blend until smooth and there are no lumps.",51
Lemon Jam with Preserved Lemon,"500g lemons (about 5 lemons) - 500ml water  - 350g caster sugar - 3 small preserved lemons (30g each), finely chopped","• Cut 0,5cm off from the ends of the lemons and cut them into wedges. Thinly slice each lemon wedge to make small triangles. Transfer the lemon pieces and the water into a large saucepan and bring to a boil over high heat. Reduce the heat to medium-low and let simmer, uncovered, for about 30 minutes until the lemon pieces are soft and cooked through. If too much of the water evaporates and the content of the saucepan looks dry, add about half a cup of water into the saucepan.",76
Chermoula Prawns and Calamari with Tomatoes and Avocado,"300g cleaned prawns - 300g calamari, sliced into rings - 2 avocados, peeled, and roughly chopped - 2 tomatoes, roughly chopped - 50g feta, crumbled - ","• In large mixing bowl mix all the chermoula ingredients together and stir until smooth. Add in the shrimp and calamari and leave in the fridge to marinate, the longer the better.",59
"Roasted Cauliflower, Apricots and Chickpea Tagine (Vegan)","1 x 400g can chickpea, rinsed and drained - 150ml vegetable stock - 100g dried apricots - 2 large onions, sliced - 2 garlic cloves, peeled and crushed - 2 tablespoons olive oil and more to roast the cauliflower - ½ teaspoon ground turmeric - ½ teaspoon ground ginger - ½ teaspoon ground cumin - ½ teaspoon ground coriander - ½ teaspoon salt - 1 large cauliflower cut into florets (makes approximately 600g florets) - Cooked couscous or bread to serve - Chopped coriander to serve - Ground roasted almonds or almonds flake, to serve",• Preheat the oven to 200 C.,51
Kefta and Swiss Chard Quiche + Goat Cheese and Harissa Sauce  ,"300g minced beef and/or lamb - 1 medium onion, grated - 2 tablespoons chopped fresh coriander - 2 tablespoons chopped fresh parsley - Leaves of 2 mint sprigs, chopped - 1 ½ teaspoon paprika - 1 teaspoon ground cumin - ½ teaspoon salt - ½ teaspoon ground black pepper - Pinch cayenne pepper - ½ tablespoon unsalted butter - 300g Swiss chard, stalks removed and roughly chopped    - 2 tablespoons milk, any type - 1 ½ tablespoon plain flour - 320g ready-rolled shortcrust pastry sheet - Salad leaves, to serve ",• Preheat the oven to 200 C (400 F).,65
Chocolate and Almond Ghriba ,"200g chocolate, 70% cocoa - 50g unsalted butter, softened   - 100g caster sugar - 2 eggs - 1 teaspoon vanilla extract - ½ teaspoon almond extract - 150g almond flour - 100g plain flour - 1 heaped teaspoon baking powder - ½ teaspoon salt - 150g icing sugar to coat the cookies","• Place the chocolate and the butter in a microwave-safe bowl stopping and stirring at 15 seconds intervals until melted and smooth. Add in the sugar, the eggs and the vanilla and almond extract. Stir all the ingredients together until smooth and creamy. Add in the almond flour, plain flour, baking powder and salt and mix all the ingredients together until well combined. Cover with cling film and place in the fridge for 2 hours or overnight.",43
Ras el hanout and baby potatoes chicken traybake ,"200ml vegetable stock - 30g fresh coriander, chopped - 6 garlic cloves peeled and pressed - Zest of a lemon - 1 tablespoon ras el hanout - ¾ teaspoon salt or to taste - 2 tablespoons olive oil - 3 large red onions, sliced (600 g) - 4 large chicken legs - 500g baby potatoes - 5 tablespoons almond flakes - Lemon wedges to serve",• Preheat the oven to 200 C (400F).,41
"Lamb, Potatoes and Olives Tagine","2 tablespoons olive oil  - 1 large onion, sliced - 3 garlic cloves, peeled and crushed - 1,2kg lamb neck fillets (or any type of stewing meat) trimmed and cut in 5 cm pieces - 300ml vegetable stock or water - 3 tomatoes, grated - 1 teaspoon turmeric - 1 teaspoon ginger - 1 teaspoon paprika - ½ teaspoon cumin - ½ teaspoon salt, or more to taste - 1kg potatoes, peeled in cut into wedges - 200g green olives drained - Chopped coriander for garnish","• In a large saucepan, heat the olive oil and add the onions over medium heat. Cover with a lid and leave the onions until they are soft and translucent, about 10 min. This will allow sweating the onions. Once you’ve sweated the onions, add the garlic and the meat. Cook for 7 min turning the meat occasionally to lightly brown it.",88
Almond Mhencha,"250g blanched almonds - 120g caster sugar - Pinch cinnamon - Pinch salt - 3 tablespoons orange blossom water - 10grunsalted butter, softened",• Preheat the oven to 180 C (350 F),79
1 Pot Loubia Stew with Sundried Tomatoes and Kale (Vegan Bean Stew),"2 cans cannellini beans, rinsed and drained - 2 tomatoes, grated - 1 large onion, sliced - 200ml vegetable stock - 100g sundried tomato, roughly chopped - 120g chopped kale  - 3 tablespoons olive oil - 2 garlic gloves, peeled and crushed - 2 teaspoons turmeric - 2 teaspoons paprika - ½ teaspoon salt or more to taste - ½ teaspoon ground black pepper - 3 tablespoons chopped fresh parsley for garnish","• Transfer all the ingredients in a large saucepan over medium high heat and bring to a boil. Reduce the heat to low, cover with a lid and leave to simmer gently for 35 minutes. Stir occasionally. If at any time throughout cooking there is more no more liquid in the pan, stir in a couple tablespoons of water. Serve warm with bread. ",146
Turmeric and Honey Granola ,"350g rolled oats - 100g flaked almonds - 3 tablespoons sunflower seeds - 3 tablespoons pumpkin seeds - 200g honey - 150ml orange juice - 1 tablespoon ground turmeric - 1 teaspoon vanilla extract - 1 teaspoon ground cinnamon - ½ teaspoon salt - 50g dried cherries, chopped - 50g dried apricots, chopped","• Preheat oven to 170 C (370 F) In a large bowl mix together the oats, almond flakes and seeds.  ",67
Chicken Chorba,"1 tablespoon olive oil - 2 onions, finely sliced - 1kg chicken wings - 2 teaspoons turmeric - Generous pinch saffron threads - 1 teaspoon salt or more to taste - ½ teaspoon ground black pepper - 150g dried chickpeas, soaked overnight and drained (or 300 gr canned chickpeas, drained) - 2 medium sized tomatoes, grated - 1 ½ tablespoon tomato paste - 2 large white potatoes (500 gr) diced into 2 cm pieces - 100g spaghetti broken into 3 cm long pieces - 3 tablespoons chopped parsley and more for serving","• In a large casserole, warm the olive oil over medium high heat and add the onions, the chicken, the spices, salt and pepper. Leave for 7 to 10 minutes to lightly brown the chicken and sweat the onions. Stir occasionally.",68
Classic Kefta Briouate,"450g prepared kefta - 2 teaspoons ground cinnamon, and more for serving - 4 tablespoons butter - 3 eggs - Salt and pepper   - 200g filo pastry - 1 egg yolk - 1 tablespoon icing sugar - A handful of roughly chopped mint leaves","• Preheat the oven to 180 C (350 F). Warm up a large pan over medium heat and add in ½ tablespoon of butter and leave until melted. Transfer in the kefta and the cinnamon and cook until the meat is brown, breaking up the meat with a wooden spoon. About 7 minutes.",60
Ras El Hanout and Dates Hotdish,"150 gr (¾ cup) mixture of jasmine and wild rice - ¾ teaspoon salt - 5 tablespoons olive oil - 1 large onion, finely chopped - 4 large carrots cut into 1 cm (½ inch) pieces - Black pepper - 4 teaspoons Ras el Hanout - 450g minced beef   - 30g plain flour - 1 can full-fat coconut milk (400ml/14 oz.) - 250ml (1 1/3 cups) beef or vegetable broth - 50g pitted dates, cut into 1 cm (½ inch) pieces - 4 flatbreads, cut into 2,5 cm (1 inch) square pieces - 1 small bunch fresh flat-leaf parsley - 1 tablespoon lemon juice",• Preheat the oven to 200 C (375 F).,58
Kalinte,"1 egg - 80ml olive oil - 1 teaspoon salt - 620ml water - 200g chickpea flour, divided - 125ml milk, any type - 1 teaspoon baking powder - Moroccan Tomato and Cucumber Salad, if desired ",• Preheat oven to 200 C (400 F),109
"Turkey, Cranberry and Chestnut Tagine","4 tablespoons olive oil - 4 large onions (about 800 gr), chopped - 2,5kg turkey pieces (see notes) - 1 ½ tablespoon finely chopped garlic (about 6 cloves) - 2 teaspoons ground turmeric - 2 teaspoons ground ginger - 1 teaspoon ground cumin - 1 ½ teaspoon salt or more to taste - ¼ ground black pepper - 1 large coriander bouquet, tied - 150g dried cranberries and more for garnish - 400g cooked chestnut (see notes) - 2 tablespoons chopped chives for garnish","• In a large casserole, heat the olive oil and add the onions over medium heat. Cover with a lid and leave the onions until they are soft and translucent, about 15 min. This will allow sweating the onions.",113
Mini Cheesecakes with Strawberry and Rose Coulis,90g digestive biscuits (approximately 10 biscuits) - 50g unsalted butter - pinch cinnamon - pinch salt - 200g full-fat cream cheese - 150g mascarpone  - 110g (1/2 cup) caster sugar - 1 tablespoon lemon juice - 1 ½  teaspoon vanilla extract - 2 teaspoons powdered gelatin - Chopped strawberries for garnish - Dried rose petals for garnish,• Place the biscuits in a food processor and process until you obtain fine crumbs. ,122
"Merguez, walnuts and raisins stuffing","2 tablespoons fennel seeds - 2 tablespoons cumin seeds  - 2 tablespoon coriander seeds - 250g minced lamb, 20% fat  - 250g minced beef, 20% fat - 1 tablespoon finely chopped garlic (about 4 cloves) - 2 tablespoons chopped fresh coriander - 1 to 2 teaspoons cayenne pepper - 4 teaspoons paprika - 1 tablespoon caster sugar - 1 tablespoon dried mint - 1 teaspoon salt or more to taste - ½ teaspoon black pepper","• Prepare the merguez meat. Toast the fennel, cumin and coriander seeds in a pan over medium heat for 3 to 4 minutes until fragrant. Use a mortar and a pestle to roughly grind the seeds. Alternatively, use a food processor.",103
Quick Fish Tagine with Chermoula + a Video,½ cup chermoula - 2 finely sliced courgettes - 2 finely sliced or stripped bell peppers (any colour) - 2 fish fillets such as sea bream or sea bass - 80g couscous - 2 tablespoons olive oil - Salt to season - 4 small preserved lemons (or 1 large preserved lemon) roughly chopped - Coriander for garnish,•  Preheat the oven to 180 C (350 F). Make the chermoula and cover the fish fillets with half of chermoula and keep in the fridge until ready to use.  ,92
Chocolate Layer Cake with Ras El Hanout Buttercream + Poached Pears ,"Unsalted butter, for greasing - 85g (¾ cup) cocoa powder - 180ml (¾ cup) water - 120g chocolate, chopped - 320g plain flour - 1½ teaspoons baking soda - ¼ teaspoon salt - 400g (2 cups) sugar - 180 gr unsalted butter, softened - 5 large eggs - 240ml whole milk, divided",• Preheat oven to 180 C (350 F). Grease two 20 cm (8 inch) cake tins and line their bottoms with baking paper.,47
Lamb Tagine with Quince (Lamb Mkalli with Quince),"2 tablespoons olive oil - 4 large onions (about 800g), chopped  - 300ml vegetable stock  - 1 tablespoon finely chopped garlic (about 4 cloves) - 1 teaspoon ground turmeric - 1 teaspoon ground ginger - 1 teaspoon salt or more to taste - Generous pinch saffron  - 1,2kg lamb neck fillets (or any type of stewing meat) trimmed and cut in 5 cm pieces - 1 large coriander bouquet, tied and more for garnish","• In a large casserole, heat the olive oil and add the onions over medium heat. Cover with a lid and leave the onions until they are soft and translucent, about 15 min. This will allow sweating the onions. Add in the garlic, the spices and the meat. Cook for 5 to 7 min turning the meat occasionally.",107
Amlou Warm Goats Cheese Salad,120g baby leaf lettuce (or any type of lettuce) - 4 small slices of bread - 4 goats cheese rounds (or 4 thick goats cheese slices cut from a log) - 2 apples (any type except granny smith) - 80ml amlou,• Preheat your grill or your grill’s oven to its highest setting.,45
"Figs, Dates and Harissa Chutney","200g red onions, sliced - 300g tomatoes, deseeded and roughly chopped - 250g figs, stalks removed and roughly chopped - 140g dates, pitted and finely chopped - 70ml apple cider vinegar - 2 teaspoons harissa or more to taste  - 1 ½ teaspoon finely chopped garlic - 1 teaspoon salt - Generous pinch saffron",• Place all the ingredients in a deep skillet and stir well to combine under medium-low heat. Simmer for 40 minutes until all the liquids have evaporated. Transfer into a clean jar and leave to cool before storing in your fridge. Enjoy with your favourite cheeses or as a spread in a sandiwch. ,89
