title,ingredients,instructions
Moroccan Lentil Salad,"['1/2 cup dry lentils ADVERTISEMENT', '1 1/2 cups water ADVERTISEMENT', '1/2 (15 ounce) can garbanzo beans, drained ADVERTISEMENT', '2 tomatoes, chopped ADVERTISEMENT', '4 green onions, chopped ADVERTISEMENT', '2 minced hot green chile peppers ADVERTISEMENT', '1 green bell pepper, chopped ADVERTISEMENT', '1/2 yellow bell pepper, chopped ADVERTISEMENT', '1 red bell pepper, chopped ADVERTISEMENT', '1 lime, juiced ADVERTISEMENT', '2 tablespoons olive oil ADVERTISEMENT', '1/4 cup chopped fresh cilantro ADVERTISEMENT', 'salt to taste ADVERTISEMENT', 'ADVERTISEMENT']","Place lentils and water in a pot. Bring water to boil, reduce to simmer. Cook for 30 minutes or until tender.
In a medium size mixing bowl combine lentils, chickpeas, tomatoes, green onions, green chilies, bell peppers, lime juice, olive oil, cilantro, and salt to taste. Toss well. Chill for 20 minutes. Serve chilled.
"
Cara's Moroccan Stew,"['1 cup French green lentils ADVERTISEMENT', '3 bay leaves ADVERTISEMENT', '2 whole garlic cloves ADVERTISEMENT', '3 tablespoons olive oil ADVERTISEMENT', '1 teaspoon chopped fresh thyme leaves ADVERTISEMENT', '1 tablespoon minced garlic ADVERTISEMENT', '1 tablespoon olive oil ADVERTISEMENT', '1 teaspoon crushed hot chile flakes ADVERTISEMENT', '1 teaspoon ground cinnamon ADVERTISEMENT', '1 teaspoon ground cumin ADVERTISEMENT', '1 teaspoon ground coriander ADVERTISEMENT', '1 tablespoon minced garlic ADVERTISEMENT', '1 cup chopped onions ADVERTISEMENT', '1 cup chopped celery ADVERTISEMENT', '1 cup chopped zucchini ADVERTISEMENT', '1 red bell pepper, diced ADVERTISEMENT', '1 yellow bell pepper, diced ADVERTISEMENT', '1 butternut squash - peeled, seeded, and cut into 1-inch cubes ADVERTISEMENT', '1 (8 ounce) can crushed tomatoes ADVERTISEMENT', '1 (15 ounce) can chickpeas, drained ADVERTISEMENT', '4 cups vegetable stock ADVERTISEMENT', '1 cup chopped fresh flat-leaf parsley ADVERTISEMENT', '1/2 cup plain yogurt (optional) ADVERTISEMENT', '2 tablespoons chopped fresh mint (optional) ADVERTISEMENT', '1/4 teaspoon cayenne pepper (optional) ADVERTISEMENT', 'ADVERTISEMENT']","Fill a large pot with water and bring to a boil over high heat. Stir in the lentils, bay leaves, and whole garlic cloves. Return to a boil, then reduce heat to low and simmer lentils until they are cooked but still firm, about 10 minutes. Drain well. Place lentils in a bowl; toss with olive oil, thyme, and 1 tablespoon chopped garlic. Remove bay leaves and whole garlic cloves; set aside.
Heat 1 tablespoon olive in a large pot over medium heat. Stir in chili flakes, cinnamon, cumin, and coriander and cook until fragrant. Add garlic, onion, celery, zucchini, red and yellow peppers, and squash; cook 3 or 4 minutes.
Mix in the lentils, tomatoes, chickpeas, and vegetable stock. Raise heat to medium-high until stew just begins to boil; reduce heat to low and cover. Simmer until squash is tender, about 20 minutes, stirring once or twice. Add the chopped parsley. Ladle into serving bowls and garnish with a dollop of yogurt, some chopped mint, and a pinch of cayenne pepper.
"
Moroccan Lamb with Shiraz Honey Sauce,"['1 (7 bone) rack of lamb, trimmed and frenched ADVERTISEMENT', 'coarse sea salt to taste ADVERTISEMENT', '2 1/2 tablespoons ras el hanout ADVERTISEMENT', '1 cup Shiraz wine ADVERTISEMENT', '1/3 cup honey ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 400 degrees F (200 degrees C).
Season lamb with sea salt, and rub with ras el hanout. In a medium cast iron skillet over medium high heat, sear lamb on all sides until evenly browned.
Place skillet with lamb in the preheated oven, and roast 30 minutes, or until the internal temperature has reached a minimum of 145 degrees F (63 degrees C).
Remove lamb from skillet, reserving juices, and allow to rest 10 to 15 minutes before slicing ribs. Place skillet with juices over medium heat, and stir in wine and honey. Cook until reduced by about half. Drizzle over ribs to serve.
"
Cold Roasted Moroccan Spiced Salmon,"['3/4 teaspoon ground cinnamon ADVERTISEMENT', '3/4 teaspoon ground cumin ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '1/2 teaspoon ground ginger ADVERTISEMENT', '1/4 teaspoon mustard powder ADVERTISEMENT', '1/4 teaspoon ground nutmeg ADVERTISEMENT', '1/8 teaspoon cayenne pepper ADVERTISEMENT', '1/8 teaspoon ground allspice ADVERTISEMENT', '2 teaspoons white sugar ADVERTISEMENT', '2 pounds (1-inch thick) boneless, skin-on center-cut salmon fillets ADVERTISEMENT', '1 tablespoon fresh lime juice ADVERTISEMENT', 'ADVERTISEMENT']","In a small bowl, combine the cinnamon, cumin, salt, ginger, mustard, nutmeg, cayenne, allspice, and sugar; set aside.
Line a baking sheet with foil, then spray with nonstick cooking spray. Rinse the salmon with cold water and pat dry. Lightly sprinkle the skin with the spice mix, then place the salmon skin-side down on the prepared baking sheet. Sprinkle the remaining spice mix evenly over the salmon. Allow the salmon to come to room temperature, 30 to 40 minutes.
Preheat oven to 425 degrees F (220 degrees C).
Sprinkle the salmon with lime juice and roast in the oven for 12 minutes. Remove from oven and allow to stand at room temperature for 15 minutes. The salmon will still be rare when removed from the oven, but will continue to cook as it rests. After 15 minutes, wrap the fish tightly with foil and refrigerate for at least 2 hours before serving.
"
Moroccan Chickpea Stew,"['1 tablespoon olive oil ADVERTISEMENT', '1 small onion, chopped ADVERTISEMENT', '2 cloves garlic, minced ADVERTISEMENT', '2 teaspoons ground cumin ADVERTISEMENT', '2 teaspoons ground coriander ADVERTISEMENT', '1/2 teaspoon cayenne pepper, or to taste ADVERTISEMENT', '1 teaspoon garam masala ADVERTISEMENT', '1/2 teaspoon curry powder ADVERTISEMENT', '1 pinch salt ADVERTISEMENT', '3 potatoes, cut into 1/2-inch cubes ADVERTISEMENT', '1 (14.5 ounce) can diced tomatoes, undrained ADVERTISEMENT', '1 cup tomato sauce ADVERTISEMENT', '1 cup golden raisins ADVERTISEMENT', 'water, or enough to cover ADVERTISEMENT', '1 (14.5 ounce) can chickpeas, drained and rinsed ADVERTISEMENT', '1 bunch kale, ribs removed, chopped ADVERTISEMENT', '1/2 cup chopped fresh cilantro ADVERTISEMENT', 'ADVERTISEMENT']","Heat the olive oil in a large pot over medium heat; cook the onion and garlic in the hot oil until the onions are translucent, 5 to 7 minutes. Stir the cumin, coriander, cayenne pepper, garam masala, curry powder, and salt into the onion and garlic; cook together until fragrant, about 1 minute. Add the potatoes, diced tomatoes, tomato sauce, and raisins to the pot. Pour enough water over the mixture to cover; bring to a simmer and cook until the potatoes are soft, 10 to 15 minutes.
Add the chickpeas and kale to the pot; simmer until the kale wilts, about 3 minutes. Sprinkle the cilantro over the stew and immediately remove the pot from the heat.
"
Moroccan Potato Casserole,"['6 cloves garlic ADVERTISEMENT', 'salt to taste ADVERTISEMENT', '2 teaspoons paprika ADVERTISEMENT', '1/2 teaspoon ground cumin ADVERTISEMENT', '1/4 teaspoon ground cayenne pepper ADVERTISEMENT', '3/4 cup chopped fresh cilantro ADVERTISEMENT', '3/4 cup chopped parsley ADVERTISEMENT', '1 lemon, juiced ADVERTISEMENT', '3 tablespoons red wine vinegar ADVERTISEMENT', '3 tablespoons olive oil ADVERTISEMENT', '1 1/2 pounds red potatoes, sliced 1/2 inch thick ADVERTISEMENT', '1 large red bell pepper, cut into 1 inch pieces ADVERTISEMENT', '1 yellow bell pepper, cut into 1 1/2 inch squares ADVERTISEMENT', '1 large green bell pepper, cut into 1 1/2 inch pieces ADVERTISEMENT', '4 stalks celery, cut into 2 inch pieces ADVERTISEMENT', '1 pound tomatoes, each cut into 8 wedges ADVERTISEMENT', '2 tablespoons olive oil ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C).
Combine garlic, 1/2 teaspoon salt, paprika, cumin, and cayenne in a food processor bowl. Process until mixture forms a paste. Add herbs, and pulse a few times to blend. Add lemon juice, vinegar, and 2 to 3 tablespoons olive oil; blend. Season to taste with salt.
In a large bowl, combine potatoes, peppers, and celery. Season with salt, and toss with herb sauce. Transfer to a large shallow baking dish. Scatter tomatoes among the potato mixture. Drizzle 1 to 2 tablespoons oil over top, and cover with foil.
Bake for 35 minutes. Remove foil. Continue baking until vegetables are tender, 20 to 30 minutes. Serve warm.
"
Moroccan Meat Cigars,"['1 teaspoon olive oil ADVERTISEMENT', '1/2 pound lean ground beef ADVERTISEMENT', '1/2 cup canned crushed tomatoes, drained ADVERTISEMENT', '1/4 teaspoon ground cinnamon ADVERTISEMENT', '1/4 teaspoon ground cumin ADVERTISEMENT', '1/8 teaspoon paprika ADVERTISEMENT', '1/8 teaspoon ground allspice ADVERTISEMENT', '1 (16 ounce) package phyllo dough ADVERTISEMENT', 'cooking oil spray ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a baking sheet.
Heat olive oil in skillet over medium-high heat. Cook ground beef until it loses its pink color and begins to brown. Drain fat from skillet. Add tomatoes, cinnamon, cumin, paprika and allspice. Reduce heat to medium and simmer until mixture reduces slightly, about 10 minutes.
Remove one phyllo sheet from package and keep the rest covered with a clean cloth until ready to use. On a flat work surface, cut the phyllo sheet into 2 14x9-inch rectangles. Spray the first half-sheet with cooking spray, place the 2nd half on top of it and spray again with oil. Place a generous teaspoon of the meat mixture near the narrow end of the dough. Fold dough over the top of the meat, fold in the sides of the dough, and roll into a narrow tube (cigar) shape. Repeat until all the meat has been rolled up. Arrange cigars on prepared baking sheet.
Bake in preheated oven until lightly browned, about 25 minutes.
"
Moroccan Fig Pork Roast,"['1 (5 pound) boneless pork loin roast ADVERTISEMENT', '1 tablespoon curry powder ADVERTISEMENT', '1 tablespoon ground turmeric ADVERTISEMENT', '1 tablespoon garam masala ADVERTISEMENT', '2 teaspoons ground ginger ADVERTISEMENT', '2 teaspoons chili powder ADVERTISEMENT', '1 teaspoon ground cumin ADVERTISEMENT', '1 pinch ground cayenne pepper ADVERTISEMENT', 'salt and ground black pepper to taste ADVERTISEMENT', '2 tablespoons olive oil ADVERTISEMENT', '2 tablespoons butter ADVERTISEMENT', '3 cloves garlic, roughly chopped ADVERTISEMENT', '1 onion, roughly chopped ADVERTISEMENT', '2 tablespoons fig compote ADVERTISEMENT', '1 (14.5 ounce) can whole peeled tomatoes ADVERTISEMENT', '1 cup chicken broth ADVERTISEMENT', 'ADVERTISEMENT']","Preheat an oven to 350 degrees F (175 degrees C). Pat pork roast dry with a clean towel. Mix curry powder, turmeric, garam masala, ground ginger, chili powder, cumin, cayenne, salt, and pepper in a small bowl. Rub spice mixture all over the pork roast.
Heat the olive oil and butter in a large, heavy bottom pot or Dutch oven over medium-high heat. Place the seasoned pork roast into the pot and cook until evenly browned, about 2 minutes on each side. Remove pork and set aside. Stir in the garlic and onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Stir in the fig compote, until well blended. Return pork to the pot, coating it with the fig mixture. Pour in the tomatoes and chicken broth. Cover, and bring to a boil.
Place covered pot in the preheated oven. Cook until the pork is no longer pink in the center, about 2 hours. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).
"
Moroccan Vegetable Soup,"['2 tablespoons olive oil ADVERTISEMENT', '1 onion, chopped ADVERTISEMENT', '1 cup peeled, chopped carrots ADVERTISEMENT', '1 cup peeled, chopped parsnips ADVERTISEMENT', '1 cup canned pumpkin puree ADVERTISEMENT', '1 quart vegetable stock ADVERTISEMENT', '1 teaspoon lemon juice ADVERTISEMENT', 'salt to taste ADVERTISEMENT', 'ground black pepper to taste ADVERTISEMENT', '1/2 teaspoon dried cilantro ADVERTISEMENT', '2 teaspoons olive oil (optional) ADVERTISEMENT', '1 clove garlic, minced (optional) ADVERTISEMENT', '3 tablespoons chopped fresh parsley (optional) ADVERTISEMENT', '1/8 teaspoon paprika (optional) ADVERTISEMENT', 'ADVERTISEMENT']","Heat 2 tablespoons olive oil in a large pot. Stir in onions; cook and stir until the onion has softened and turned translucent, about 5 minutes. Add carrots and parsnips. Cover and cook until vegetables have softened slightly, about 5 minutes.
Stir in the pumpkin puree and stock. Bring to a simmer and reduce heat to low. Cover and let simmer until vegetables are tender, about 40 minutes. Add lemon juice, salt, pepper, and cilantro. Taste and adjust seasonings, if necessary. Remove from heat and allow to cool.
Ladle soup in batches into a food processor and blend until smooth (or use an immersion blender). If soup is too thick, thin with additional stock. Return pureed soup to the pot and heat through.
To make the garnish, heat olive oil in a small skillet. Cook garlic and parsley over low heat 1 to 2 minutes. Stir in paprika. Swirl a half teaspoon of garnish on each serving of soup.
"
Moroccan Lamb Kabobs,"['2 pounds ground lamb ADVERTISEMENT', '1 cup raisins ADVERTISEMENT', '5 ounces goat cheese ADVERTISEMENT', '1/3 cup mayonnaise ADVERTISEMENT', '1 red onion, finely chopped ADVERTISEMENT', '2 cloves garlic, finely chopped ADVERTISEMENT', '2 tablespoons chopped fresh cilantro ADVERTISEMENT', '3/4 tablespoon ground cayenne pepper ADVERTISEMENT', '1/2 teaspoon ground cumin ADVERTISEMENT', '1/2 teaspoon ground coriander ADVERTISEMENT', 'salt to taste ADVERTISEMENT', 'coarsely ground black pepper to taste ADVERTISEMENT', 'ADVERTISEMENT']","Preheat an outdoor grill for high heat and lightly oil grate.
In a medium bowl, mix together ground lamb, raisins, goat cheese, mayonnaise, red onion, garlic, cilantro, cayenne pepper, cumin, ground coriander, salt and black pepper. Divide the mixture into approximately 6 even portions, and press around skewers.
Place skewers on the grill. Cook approximately 4 minutes per side, or until the cheese has melted, the raisins are tender and lamb has reached desired doneness.
"
Moroccan Peach Roasted Chicken,"['1/4 cup margarine or butter ADVERTISEMENT', '1/4 cup honey ADVERTISEMENT', '1 teaspoon rose water ADVERTISEMENT', '1 teaspoon salt ADVERTISEMENT', 'ground black pepper to taste ADVERTISEMENT', '4 pounds bone-in chicken pieces, with skin ADVERTISEMENT', '1 pound fresh peaches, pitted and sliced ADVERTISEMENT', '1 tablespoon white sugar ADVERTISEMENT', '1/2 cup toasted slivered almonds (optional) ADVERTISEMENT', 'ADVERTISEMENT']","Preheat the oven to 425 degrees F (220 degrees C).
In a glass measuring cup, combine the margarine, honey, rose water, salt and pepper. Heat in the microwave until margarine has melted, about 30 seconds. Place chicken in a baking dish and pour the margarine mixture over it. Stir to coat the chicken completely. Place the dish of chicken into the oven.
Cook uncovered in the preheated oven until chicken pieces have browned, about 15 minutes. Reduce the oven temperature to 350 degrees F (175 degrees C). Add the peaches to the dish and sprinkle with sugar. Continue to roast until chicken is cooked through, about 20 more minutes.
Remove chicken pieces to a serving dish and pour the juices from the pan over them. Garnish with slivered almonds.
"
