name,steps,description,ingredients
carrot and raisin salad   moroccan style,"['slice carrots into about three pieces', 'cook carrots in boiling water until crisp-tender , about five minutes', 'drain , rinse with cold water and drain again', 'while carrots cool , in medium bowl , combine lemon juice , sugar , paprika , cumin , cinnamon , salt and cayenne pepper', 'stir to dissolve sugar and salt', 'stir in olive oil , parsley and raisins', 'add carrots and toss to combine', 'cover and chill for at least one hour to blend flavors , stirring occasionally', 'serve on a leaf of lettuce , if desired']","a little different combination of flavors makes this so good. we like it any time, but is especially good in the winter, when other fresh vegetables are not as good or quite expensive!","['baby carrots', 'lemon juice', 'sugar', 'paprika', 'ground cumin', 'cinnamon', 'salt', 'cayenne pepper', 'olive oil', 'fresh parsley leaves', 'raisins', 'lettuce']"
carrot salad with moroccan dressing,"['cut carrots diagonally into 1 / 2 "" pieces', 'place carrots in rapidly boiling water and cook for 4 minutes , drain , rinse with cold water and pat dry', 'in a large bowl , add the orange & lemon juices , honey , parpika , cumin and cinnamon', 'next add in the carrots and toss , sprinkle with the mint , cilantro , parsley , sesame oil and sesame seeds', 'season with salt and pepper and serve', 'place sesame seeds in a dry skillet and shake over medium high heat until lightly toasted', 'they cook quickly becareful not to burn them']","this recipe has been submitted for play in zwt9 – morocco. this recipe is from cookbook: more heartsmart cooking with bonnie stern.   this lovely salad has a big  punch of flavor.  you will be left smiling. 

toasting the sesame seeds really enhances the flavor.","['carrots', 'orange juice', 'lemon juice', 'honey', 'paprika', 'cumin', 'cinnamon', 'of fresh mint', 'fresh cilantro', 'fresh parsley', 'sesame oil', 'sesame seeds', 'fine sea salt', 'fresh ground black pepper']"
carrot soup moroccan style,"['boil all ingredients until tender , about 20 minutes', 'cool and drain , reserving the liquid', 'puree the vegetables until completely smooth', 'add the reserved liquid and chill', 'at serving time , garnish with minced coriander or parsley']",from thegutsygourmet.net,"['stock', 'onion', 'ground caraway', 'cumin seed', 'garlic clove', 'lemon juice', 'lime juice', 'carrot']"
chermoula  moroccan fish marinade,"['in food processor or blender combine cilantro , garlic , vinegar , lemon juice , paprika , cumin , crushed red pepper , olive oil , salt , and cayenne to a fine paste', 'adjust the consistency by adding more olive oil', 'the marinade should be fairly thick']",from http://www.thegutsygourmet.net/,"['fresh cilantro', 'garlic', 'vinegar', 'lemons, juice of', 'paprika', 'ground cumin', 'crushed red pepper flakes', 'olive oil', 'salt', 'cayenne pepper']"
chermoula  moroccan marinade,"['place the garlic , cumin , saffron , olive oil , lemon juice , chili and salt in a mortar and pound with a pestle', 'or alternatively put all the above in a food processor and whiz until finely chopped , i have little baby processor which makes this a doddle', 'add the fresh cilantro and mix in or give an additional quick whiz to combine', 'spread the mixture over the fish of your choice and leave to marinade for at least 15 minutes']","chermoula is a highly flavoured moroccan marinade, that is the life saver of boring fish.  there are hundreds of chermoula recipes, all different: every moroccan cook book you pick up will contain at least three versions.  it is worth trying several and ending up with a hybrid of your own.  this is my favourite version. chermoula marinated fish can be grilled, barbequed, baked or pan fried, which ever suits the fish of your choice.  pan fried salmon steaks are good, cod fillets cut into chunks and marinated are great barbequed. makes enough marinade for fish for 4.","['garlic cloves', 'ground cumin', 'saffron thread', 'olive oil', 'lemon, juice of', 'red chili pepper', 'salt', 'fresh cilantro']"
chermoula  moroccan pesto,['combine in blender or food processor until smooth paste forms'],eat like you would a italian pesto on anything you like.,"['cilantro', 'fresh mint leaves', 'ginger', 'ground cinnamon', 'hot paprika', 'fresh ground black pepper', 'sea salt', 'cumin', 'cayenne pepper', 'ground thyme', 'saffron thread', 'olive oil']"
chicken cacciatore with a moroccan twist,"['heat olive oil in a large saucepan over medium heat', 'add pepper , onion , celery , and garlic', 'saute , stirring occasionally , for 5-10 minutes , or until vegetables soften', 'add mushrooms', 'cook 1 minute', 'add tomatoes , spices , and lemon juice', 'simmer for 15 minutes , stirring occasionally', 'add chicken', 'cover and cook for 45 minutes over low heat , or until chicken is no longer pink']","i threw this recipe together and was so happy with it that i wanted to share!  i used a package of a whole chicken that was sectioned into its parts.  the flavors come together very well if you keep the skin on the chicken, but you could definitely prepare this with 4 six ounce boneless-skinless chicken breasts.","['olive oil', 'bell pepper', 'onion', 'celery', 'garlic cloves', 'mushroom', 'diced tomatoes', 'ground cumin', 'ginger', 'ground coriander', 'paprika', 'salt', 'fresh ground black pepper', 'lemon juice', 'chicken thighs', 'chicken drumsticks', 'chicken breasts']"
chicken or turkey meatballs  moroccan style,"['mix parsley , onion , & spices with the ground chicken', 'make sure it is well blended so that the spices are evenly distributed throughout the mixture', 'make 1 inch balls flattened to about 1 / 2 inch thickness', 'optional: dip the balls into the flour until coated', 'pour enough oil to just cover the bottom of the frying pan , heat on medium heat', 'place the balls into the heated oil', 'turn frequently so they do not burn on the sides', 'cook until they are done all the way through', 'optional: to eat moroccan style , use pieces of a thick bread to break off chunks of meatball', 'pop into mouth & enjoy']",my husband's mom would make this for me while i was in morocco. after the first time i tried to figure out what she put in it to make them so good. mine were ok but not wonderful like hers. so the next time i was there i paid close attention when she made them.,"['ground chicken', 'fresh parsley', 'onion', 'paprika', 'cumin', 'ground black pepper', 'salt', 'oil', 'flour']"
chicken with dates and moroccan spices,"['sprinkle chicken pieces with salt , pepper , and flour', 'heat olive oil in heavy large pot over medium-high heat', 'add half of chicken pieces to pot and cook until browned on all sides , turning occasionally , about 10 minutes', 'transfer chicken to baking sheet or platter', 'repeat with remaining chicken', 'pour off all but 2 tablespoons fat from pot and discard', 'reduce heat to medium', 'add shallots to pot', 'saute until golden , about 6 minutes', 'add cinnamon sticks , ginger , cumin , turmeric , and cayenne', 'stir until fragrant , about 1 minute', 'increase heat to high', 'add broth and 3 tablespoons lemon juice', 'bring to boil', 'reduce heat to low , cover , and simmer until shallots begin to soften , about 18 minutes', 'place chicken pieces atop shallots in pot', 'bring to boil over medium heat', 'reduce heat to medium-low , cover , and simmer until juices run clear when thickest part of drumstick is pierced with knife , about 25 minutes', 'transfer chicken and shallots to platter', 'tent with foil', 'boil juices in pot until slightly thickened', 'stir in dates and remaining 2 tablespoons lemon juice', 'reduce heat and simmer gently until dates are heated through , about 2 minutes', 'pour sauce and dates over chicken', 'sprinkle with almonds and cilantro , serve']","medjool dates work well in this braise, which should be served with enough couscous to soak up the delicious juices.","['chicken breast halves', 'all-purpose flour', 'olive oil', 'shallots', 'cinnamon sticks', 'ground ginger', 'ground cumin', 'turmeric', 'cayenne pepper', 'low sodium chicken broth', 'fresh lemon juice', 'dates', 'almonds', 'fresh cilantro']"
chilled moroccan tomato soup,"['in a large plastic refrigerator container , mix together the first 5 ingredients', 'stir to mix', 'using a small skillet , over low heat , warm the olive oil', 'saute the garlic , cumin , paprika , and cinnamon , stirring constantly , for 1 minute', 'be careful not to scorch', 'add the spice mixture to the soup', 'add lemon juice , hot sauce , and salt to taste', 'refrigerate for 4 hours before serving']",needs to refrigerate 4 hours before serving. adapted from moosewood.,"['tomatoes', 'celery', 'scallion', 'tomato juice', 'orange juice', 'olive oil', 'garlic', 'ground cumin', 'paprika', 'ground cinnamon', 'fresh lemon juice', 'hot pepper sauce', 'salt']"
cinnamon spiced moroccan chicken,"['mix 1 tablespoon of the flour , cinnamon , cumin , ginger , ground red pepper and sea salt in shallow dish', 'coat both sides of chicken with spice mixture', 'heat oil in large skillet on medium heat', 'add chicken and cook 3 minutes per side or until golden brown', 'mix remaining 1 tablespoon flour and broth', 'add to skillet', 'bring to boil', 'stir in dates and almonds', 'reduce heat to low', 'simmer , covered , 7 minutes , or until chicken is cooked through', 'serve over couscous or rice']","cinnamon, cumin and ginger add authentic moroccan flavor to boneless chicken thighs in this entree that's ready in less than 30 minutes.","['flour', 'cinnamon', 'cumin', 'ginger', 'ground red pepper', 'sea salt', 'boneless skinless chicken thighs', 'olive oil', 'chicken broth', 'dates', 'toasted sliced almonds']"
classic moroccan charmoula for fish,"['whisk ingredients together and marinate white fish fillets for 30 minutes to an hour', 'bake or grill fish', 'more sauce can be served with the fish', 'charmoula can also be used to marinate chicken with good results !']","moroccan charmoula sauce is a delightful lemony, garlicky, herby marinade and topping made a little exotic with the addition of cumin and cilantro. it's perfect with baked or grilled fish, but it perks up plain old chicken and can be tossed with couscous or rice, too. be sure to use a good extra-virgin olive oil!","['paprika', 'dried red chilies', 'ground cumin', 'garlic', 'lemon juice', 'dried parsley', 'cilantro', 'olive oil', 'salt and black pepper']"
classic moroccan mint tea,"['boil a liter of water', 'rinse a small tea pot with about 1 / 4 cup of the hot water , then pour out the water', 'add the tea leaves and then add another 1 / 4 cup boiling water', 'swirl the pot to wash and rinse the leaves , and carefully pour out the water again', 'add the mint leaves and the sugar , and fill the pot with 1 / 2 liter the boiling water', 'let the tea to steep for five minutes', 'gently stir the tea', 'pour into small tea glasses and serve']","this classic tea recipe is made by steeping green tea with spearmint leaves.  in morocco it is often served more than once a day.  although moroccan tea pots are many sizes, small pots contain about a half liter or six glasses of tea. a large pot would hold about a liter or about 12 glasses of tea.  this tea is served hot but in glasses rather than in cups as most americans would tend to drink it.  the moroccan glasses are a work of art on their own, they are so lovely.  the following measures are for a small pot of tea. prep time is to boil the water.  cook time is for steeping.  the original version of this recipe was found at 'about.com'.  if you can't get fresh  spearmint leaves you can substitute 1/4 to 1/2 teaspoon of spearmint extract.  posted for zwt 2010.","['green tea leaves', 'spearmint', 'boiling water', 'sugar']"
clean eating ras el hanout moroccan spice mix,"['mix all ingredients in small bowl until well blended', 'seal in an airtight container and store in a dark dry spot in the pantry', 'it will keep for up to a year']","entered for safe-keeping. from clean eating, may/june 2009.  this will keep for up to a year.","['ground cinnamon', 'ground ginger', 'turmeric', 'ground black pepper', 'allspice', 'ground cumin', 'ground coriander']"
couscous with moroccan spices,"['heat olive oil in a non stick pan and cook the chopped onion and garlic in it till the onion is soft and translucent', 'stir in the cumin , turmeric , cinnamon , coriander , cayenne and paprika', 'continue stirring over medium heat for 2-3 minutes , then add vegetable broth , tomato puree and currants', 'simmer the sauce for 10 minutes', 'remove the sauce from heat and stir in fresh lemon juice to your taste', 'if not using immediately and planning to reheat before serving , wait to add citrus juice at the last minute', 'to cook the couscous , heat the broth , water , butter and salt together in a medium skillet till the liquid boils', 'reduce to a simmer , add the couscous , cover the skillet tightly and leave on the lowest heat for 5 minutes', 'remove the pan from the heat an leave it covered for another couple of minutes before fluffing with a fork']","a nicely flavored couscous from the new vegetarian epicure.  posted for zwt iii, north africa and the middle east.","['olive oil', 'onion', 'garlic cloves', 'cumin seed', 'turmeric', 'cinnamon', 'ground coriander', 'cayenne', 'paprika', 'vegetable broth', 'tomatoes', 'dried currant', 'lemon juice', 'water', 'butter', 'salt', 'couscous']"
crispy roasted chickpeas with moroccan spices,"['preheat oven to 350', 'drain garbanzo beans into a colander and rinse well with cold water until no more foam appears', 'let beans drain for 5 to 10 minutes , then pat dry with a cloth or paper towel if they still look wet', 'while beans drain , make spice mix', 'when beans are well drained and dried , toss with olive oil , spice mix , and salt', 'arrange in a single layer on a baking sheet', 'roast 40 to 50 minutes or until they are slightly browned and make a rattling sound when you shake the baking sheet', 'serve warm or let cool']",this is a great mid-afternoon snack by itself or sprinkle them on a salad or add some nuts.  i used garbanzo beans from my freezer i cooked earlier and tripled the recipe so i'd have extra on hand.  kalyn says garbanzo beans are one of the world's healthiest foods--one of the highest protein levels in plants and also a low-glycemic food.  roasted chickpeas are eaten in turkey as a snack called leblebi.  this recipe came from kalyn's kitchen--the moroccan spice mix is from fine cooking magazine.  kalyn keeps moroccan spice mix on hand to flavor veggies as well.,"['garbanzo beans', 'olive oil', 'mixed spice', 'salt', 'ground cumin', 'ground coriander', 'chili powder', 'sweet paprika', 'ground cinnamon', 'ground allspice', 'ground ginger', 'cayenne pepper', 'ground cloves']"
crock pot moroccan chicken,"['spray inside of large crock pot with cooking spray', 'mix water , spices and lemon juice in a small bowl', 'set aside', 'layer ingredients in crock pot in this order:', 'onions', 'carrots', 'water mixture', 'chicken', 'olive oil', 'oranges', 'cook on low for 8 hours', 'serving suggestion', 'serve over rice or couscous']",sounds tasty!!!,"['boneless skinless chicken breasts', 'onion', 'baby carrots', 'olive oil', 'mandarin oranges', 'water', 'salt', 'ground cumin', 'cinnamon', 'crushed red pepper flakes', 'lemon juice']"
crock pot moroccan cornish game hens,"['rinse hens', 'pat dry', 'in small bowl , combine garlic , honey , turmeric , onion , allspice , salt and cayenne', 'brush this mixture on hens', 'cover and refrigerate at least 4 hours', 'place in cooker with juice from marinade', 'sprinkle tomatoes over top', 'cook on low 5 and 1 / 2 to 6 hours', 'arrange on serving platter over hot , cooked rice', 'sprinkle with toasted sesame seeds if desired']",this is a delicious way to serve something a little exotic without slaving over a hot stove with complex recipes. serve this with your favorite hummous and pita bread along side a spinach salad.,"['cornish hens', 'garlic clove', 'honey', 'ground turmeric', 'onion', 'allspice', 'salt', 'cayenne pepper', 'tomatoes']"
crock pot moroccan lamb chops and prunes,"['in large frying pan , saute onion in olive oil until limp', 'push to sides of pan', 'in same pan , brown chops well on both sides', 'season with salt and pepper', 'add ginger , cumin , garlic and cinnamon', 'saute 1 minute', 'transfer to crock pot', 'deglaze pan with 2 tablespoons water', 'add to pot', 'scatter cilantro and prunes over lamb chops', 'cover', 'cook on low for 6 hours', 'stir in honey and lime juice', 'heat to serving temperature', 'sprinkle with sesame seeds']","this is from lou seibert pappas' cookbook, extra-special crockery pot recipes, ""time saving meals for the gourmet appetite"", i have to add that tagline since this recipe fits and does not disappoint! this is delicious. cooking the lamb chops in spare liquid on low is as close to braising in a crockpot as i've seen. pappas says of this recipe, ""fresh cilantro and ginger root are essential to the authenticity of this aromatic north african entree."" i served it with a wonderful silver palate recipe #321104.","['onion', 'olive oil', 'shoulder lamb chops', 'salt', 'pepper', 'gingerroot', 'ground cumin', 'garlic cloves', 'cinnamon stick', 'cilantro', 'prune', 'honey', 'lime juice', 'sesame seeds']"
crock pot moroccan lentil stew,"['combine all ingredients except green beans in a 3-4 quart slow cooker', 'cover and cook on low for 8-10 hours until lentils , squash , and potatoes are tender when tested with knife', 'increase heat to high setting', 'stir in thawed green beans , cover and cook for 10-15 minutes until mixture is thoroughly heated and beans are tender']","i found this recipe on about.com originally, but it didn't have the nutritional information included.

we *love* this recipe.  the stew has a real kick, is easy to throw together in the morning, and is really satisfying.","['dried lentils', 'butternut squash', 'red potatoes', 'onion', 'garlic cloves', 'diced tomatoes', 'curry powder', 'salt', 'white pepper', 'crushed red pepper flakes', 'water', 'frozen cut green beans']"
